Aercap Holdings PE Ratio Historical Data,Aercap Holdings PE Ratio Historical Data,Aercap Holdings PE Ratio Historical Data,Aercap Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,104.6,,9.68
2024-12-31,95.7,$10.81,8.85
2024-09-30,94.47,$12.62,7.49
2024-06-30,92.71,$15.53,5.97
2024-03-31,86.21,$15.37,5.61
2023-12-31,73.72,$14.14,5.21
2023-09-30,62.17,$10.81,5.75
2023-06-30,63.01,$7.77,8.11
2023-03-31,55.78,$7.05,7.91
2022-12-31,57.85,$-3.09,0.0
2022-09-30,41.99,$-4.69,0.0
2022-06-30,40.61,$-3.16,0.0
2022-03-31,49.88,$-2.64,0.0
2021-12-31,64.9,$7.47,8.69
2021-09-30,57.35,$7.25,7.91
2021-06-30,50.8,$-2.76,0.0
2021-03-31,58.27,$-2.76,0.0
2020-12-31,45.21,$-2.38,0.0
2020-09-30,24.99,$-0.26,0.0
2020-06-30,30.55,$8.41,3.63
2020-03-31,22.61,$8.91,2.54
2019-12-31,60.98,$8.45,7.22
2019-09-30,54.31,$7.73,7.03
2019-06-30,51.59,$7.51,6.87
2019-03-31,46.17,$6.79,6.8
2018-12-31,39.28,$6.83,5.75
2018-09-30,57.06,$6.88,8.29
2018-06-30,53.72,$6.71,8.01
2018-03-31,50.31,$6.68,7.53
2017-12-31,52.19,$6.44,8.1
2017-09-30,50.7,$6.78,7.48
2017-06-30,46.06,$6.38,7.22
2017-03-31,45.6,$5.93,7.69
2016-12-31,41.28,$5.58,7.4
2016-09-30,38.18,$4.90,7.79
2016-06-30,33.32,$5.16,6.46
2016-03-31,38.45,$5.40,7.12
2015-12-31,42.81,$5.72,7.48
2015-09-30,37.93,$5.78,6.56
2015-06-30,45.42,$5.89,7.71
2015-03-31,43.3,$5.26,8.23
2014-12-31,38.51,$4.28,9.0
2014-09-30,40.57,$3.46,11.73
2014-06-30,45.43,$2.60,17.47
2014-03-31,41.85,$2.44,17.15
2013-12-31,38.04,$2.56,14.86
2013-09-30,19.3,$2.08,9.28
2013-06-30,17.32,$1.80,9.62
2013-03-31,15.33,$1.34,11.44
2012-12-31,13.61,$1.21,11.25
2012-09-30,12.4,$1.66,7.47
2012-06-30,11.19,$1.16,9.65
2012-03-31,11.02,$1.16,9.5
2011-12-31,11.2,$1.18,9.49
2011-09-30,9.84,$1.17,8.41
2011-06-30,12.91,$1.65,7.82
2011-03-31,12.47,$1.85,6.74
2010-12-31,14.01,$1.77,7.91
2010-09-30,11.74,$1.75,6.71
2010-06-30,10.3,$1.74,5.92
2010-03-31,11.43,$2.00,5.71
2009-12-31,8.99,$1.95,4.61
