Calavo Growers PE Ratio Historical Data,Calavo Growers PE Ratio Historical Data,Calavo Growers PE Ratio Historical Data,Calavo Growers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.31,,83.83
2025-01-31,22.89,$0.29,78.93
2024-10-31,26.58,$-0.06,0.0
2024-07-31,23.62,$-0.50,0.0
2024-04-30,26.65,$-0.09,0.0
2024-01-31,25.7,$-0.66,0.0
2023-10-31,24.87,$-0.48,0.0
2023-07-31,36.89,$-0.22,0.0
2023-04-30,31.15,$-0.52,0.0
2023-01-31,31.11,$-0.30,0.0
2022-10-31,33.31,$-0.36,0.0
2022-07-31,38.81,$-0.90,0.0
2022-04-30,34.9,$-1.71,0.0
2022-01-31,39.88,$-1.20,0.0
2021-10-31,37.65,$-0.67,0.0
2021-07-31,52.77,$0.41,128.71
2021-04-30,73.18,$0.26,281.47
2021-01-31,71.33,$-0.43,0.0
2020-10-31,61.87,$-0.78,0.0
2020-07-31,53.25,$-0.83,0.0
2020-04-30,53.46,$0.66,81.0
2020-01-31,70.61,$1.78,39.67
2019-10-31,78.91,$2.09,37.75
2019-07-31,80.46,$1.71,47.05
2019-04-30,87.17,$1.81,48.16
2019-01-31,74.02,$1.68,44.06
2018-10-31,87.35,$1.83,47.73
2018-07-31,83.3,$2.50,33.32
2018-04-30,84.38,$2.30,36.69
2018-01-31,78.34,$2.24,34.97
2017-10-31,65.52,$2.13,30.76
2017-07-31,65.83,$2.07,31.8
2017-04-30,58.32,$2.30,25.35
2017-01-31,49.16,$2.12,23.19
2016-10-31,51.86,$2.19,23.68
2016-07-31,57.68,$1.94,29.73
2016-04-30,50.13,$1.71,29.31
2016-01-31,45.38,$1.64,27.67
2015-10-31,44.38,$1.58,28.09
2015-07-31,47.06,$1.29,36.48
2015-04-30,43.72,$1.81,24.16
2015-01-31,34.63,$1.75,19.79
2014-10-31,41.25,$1.69,24.41
2014-07-31,29.31,$2.10,13.96
2014-04-30,26.42,$1.51,17.5
2014-01-31,25.82,$1.23,20.99
2013-10-31,24.66,$1.16,21.26
2013-07-31,22.56,$1.18,19.12
2013-04-30,23.56,$1.13,20.85
2013-01-31,20.69,$1.15,17.99
2012-10-31,19.09,$1.15,16.6
2012-07-31,21.82,$0.98,22.26
2012-04-30,23.19,$0.78,29.73
2012-01-31,22.0,$0.77,28.57
2011-10-31,17.88,$0.75,23.84
2011-07-31,16.38,$0.82,19.97
2011-04-30,16.64,$1.05,15.85
2011-01-31,18.29,$1.22,14.99
2010-10-31,16.95,$1.22,13.89
2010-07-31,16.34,$1.06,15.42
2010-04-30,13.42,$0.82,16.36
2010-01-31,12.97,$0.80,16.21
2009-10-31,13.43,$0.94,14.28
