Seres Therapeutics PE Ratio Historical Data,Seres Therapeutics PE Ratio Historical Data,Seres Therapeutics PE Ratio Historical Data,Seres Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.73,,8.13
2024-12-31,0.83,$0.09,9.23
2024-09-30,0.95,$-0.23,0.0
2024-06-30,0.72,$-1.18,0.0
2024-03-31,0.77,$-0.60,0.0
2023-12-31,1.4,$-0.90,0.0
2023-09-30,2.38,$-1.12,0.0
2023-06-30,4.79,$-1.24,0.0
2023-03-31,5.67,$-2.30,0.0
2022-12-31,5.6,$-2.34,0.0
2022-09-30,6.42,$-2.35,0.0
2022-06-30,3.43,$-1.14,0.0
2022-03-31,7.12,$-0.97,0.0
2021-12-31,8.33,$-0.75,0.0
2021-09-30,6.96,$-0.38,0.0
2021-06-30,23.85,$-1.46,0.0
2021-03-31,20.59,$-1.21,0.0
2020-12-31,24.5,$-1.10,0.0
2020-09-30,28.31,$-1.17,0.0
2020-06-30,4.76,$-1.04,0.0
2020-03-31,3.57,$-1.00,0.0
2019-12-31,3.45,$-1.31,0.0
2019-09-30,4.01,$-1.58,0.0
2019-06-30,3.22,$-1.89,0.0
2019-03-31,6.87,$-2.33,0.0
2018-12-31,4.52,$-2.43,0.0
2018-09-30,7.59,$-2.62,0.0
2018-06-30,8.6,$-2.25,0.0
2018-03-31,7.34,$-2.26,0.0
2017-12-31,10.14,$-2.20,0.0
2017-09-30,16.04,$-2.12,0.0
2017-06-30,11.3,$-2.41,0.0
2017-03-31,11.27,$-2.42,0.0
2016-12-31,9.9,$-2.29,0.0
2016-09-30,12.29,$-2.07,0.0
2016-06-30,29.05,$-1.99,0.0
2016-03-31,26.56,$-1.29,0.0
