Indivior PE Ratio Historical Data,Indivior PE Ratio Historical Data,Indivior PE Ratio Historical Data,Indivior PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.68,,0.0
2024-12-31,12.43,$-0.35,0.0
2024-09-30,9.75,$-0.04,0.0
2024-06-30,16.12,$-1.05,0.0
2024-03-31,21.42,$0.01,2142.0
