TransAlta PE Ratio Historical Data,TransAlta PE Ratio Historical Data,TransAlta PE Ratio Historical Data,TransAlta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.78,,23.85
2024-12-31,14.15,$0.41,34.51
2024-09-30,10.31,$0.37,27.85
2024-06-30,7.01,$1.51,4.64
2024-03-31,6.36,$1.55,4.11
2023-12-31,8.17,$1.83,4.47
2023-09-30,8.51,$1.58,5.39
2023-06-30,9.12,$0.70,13.03
2023-03-31,8.49,$0.29,29.28
2022-12-31,8.66,$0.02,433.0
2022-09-30,8.49,$0.24,35.37
2022-06-30,10.91,$-1.27,0.0
2022-03-31,9.88,$-1.06,0.0
2021-12-31,10.57,$-1.69,0.0
2021-09-30,10.0,$-1.93,0.0
2021-06-30,9.41,$-0.96,0.0
2021-03-31,8.89,$-1.09,0.0
2020-12-31,7.1,$-0.87,0.0
2020-09-30,5.73,$-0.22,0.0
2020-06-30,5.49,$0.29,18.95
2020-03-31,4.83,$0.45,10.73
2019-12-31,6.57,$0.15,43.81
2019-09-30,5.94,$-0.36,0.0
2019-06-30,5.92,$-0.73,0.0
2019-03-31,6.65,$-1.01,0.0
2018-12-31,3.71,$-0.66,0.0
2018-09-30,5.04,$-0.72,0.0
2018-06-30,4.46,$-0.56,0.0
2018-03-31,4.83,$-0.32,0.0
2017-12-31,5.24,$-0.50,0.0
2017-09-30,5.13,$0.05,102.53
2017-06-30,5.58,$0.09,62.0
2017-03-31,5.07,$0.15,33.82
2016-12-31,4.74,$0.31,15.3
2016-09-30,3.82,$0.14,27.26
2016-06-30,4.45,$0.59,7.54
2016-03-31,3.94,$0.19,20.72
2015-12-31,2.98,$0.05,59.53
2015-09-30,3.79,$0.49,7.73
2015-06-30,6.15,$0.04,153.82
2015-03-31,7.26,$0.25,29.05
2014-12-31,6.97,$0.39,17.87
2014-09-30,7.95,$-0.27,0.0
2014-06-30,9.16,$-0.27,0.0
2014-03-31,8.57,$-0.04,0.0
2013-12-31,9.21,$-0.24,0.0
2013-09-30,9.03,$0.14,64.47
2013-06-30,9.35,$0.41,22.81
2013-03-31,9.75,$-3.15,0.0
2012-12-31,10.01,$-2.71,0.0
2012-09-30,9.84,$-2.75,0.0
2012-06-30,10.73,$-2.76,0.0
2012-03-31,11.66,$0.79,14.76
2011-12-31,12.64,$0.75,16.85
2011-09-30,13.17,$0.92,14.31
2011-06-30,12.75,$0.86,14.83
2011-03-31,12.4,$1.04,11.92
2010-12-31,12.32,$0.99,12.45
2010-09-30,12.25,$1.06,11.56
2010-06-30,10.46,$1.20,8.72
2010-03-31,12.3,$0.94,13.08
2009-12-31,12.26,$0.80,15.32
