Forte Biosciences PE Ratio Historical Data,Forte Biosciences PE Ratio Historical Data,Forte Biosciences PE Ratio Historical Data,Forte Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.54,,0.0
2024-09-30,5.59,$-16.29,0.0
2024-06-30,13.43,$-18.25,0.0
2024-03-31,17.41,$-22.00,0.0
2023-12-31,20.54,$-26.00,0.0
2023-09-30,16.55,$-31.00,0.0
2023-06-30,26.0,$-29.00,0.0
2023-03-31,25.25,$-23.75,0.0
2022-12-31,25.0,$-20.00,0.0
2022-09-30,26.75,$-19.25,0.0
2022-06-30,32.5,$-28.25,0.0
2022-03-31,36.5,$-33.75,0.0
2021-12-31,53.5,$-38.50,0.0
2021-09-30,74.0,$-33.25,0.0
2021-06-30,840.5,$-31.25,0.0
2021-03-31,856.75,$-258.50,0.0
2020-12-31,910.25,$-410.67,0.0
2020-09-30,1212.75,$-575.59,0.0
2020-06-30,364.5,$-856.44,0.0
2020-03-31,457.5,$-888.31,0.0
2019-12-31,199.95,"$-1,004.50",0.0
2019-09-30,248.4,"$-1,199.40",0.0
2019-06-30,2505.0,$-914.54,0.0
2019-03-31,4076.25,$-948.28,0.0
2018-12-31,3078.75,$-914.54,0.0
2018-09-30,5846.25,$-760.87,0.0
2018-06-30,3502.5,$-940.78,0.0
2018-03-31,4443.75,$-847.08,0.0
