Crane NXT PE Ratio Historical Data,Crane NXT PE Ratio Historical Data,Crane NXT PE Ratio Historical Data,Crane NXT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.51,,16.77
2024-12-31,58.22,$3.19,18.25
2024-09-30,56.1,$3.05,18.39
2024-06-30,61.42,$3.14,19.56
2024-03-31,61.9,$3.17,19.53
