Koss PE Ratio Historical Data,Koss PE Ratio Historical Data,Koss PE Ratio Historical Data,Koss PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.07,,0.0
2024-12-31,7.38,$-0.08,0.0
2024-09-30,7.39,$-0.12,0.0
2024-06-30,4.45,$-0.10,0.0
2024-03-31,2.57,$-0.12,0.0
2023-12-31,3.35,$-0.12,0.0
2023-09-30,2.96,$-0.21,0.0
2023-06-30,3.7,$0.83,4.46
2023-03-31,4.62,$0.90,5.13
2022-12-31,4.95,$0.97,5.1
2022-09-30,6.35,$1.15,5.52
2022-06-30,6.95,$0.13,53.46
2022-03-31,9.16,$0.12,76.33
2021-12-31,10.68,$0.02,534.0
2021-09-30,16.35,$0.03,545.0
2021-06-30,23.22,$0.06,387.0
2021-03-31,22.49,$0.05,449.8
2020-12-31,3.44,$0.10,34.4
2020-09-30,2.14,0,0.0
2020-06-30,1.36,$-0.06,0.0
2020-03-31,0.88,$-0.07,0.0
2019-12-31,1.54,$-0.04,0.0
2019-09-30,2.0,$0.01,200.0
2019-06-30,2.0,$0.06,33.33
2019-03-31,2.06,$0.10,20.6
2018-12-31,1.91,$-0.03,0.0
2018-09-30,2.82,$-0.45,0.0
2018-06-30,2.35,$-0.46,0.0
2018-03-31,1.78,$-0.52,0.0
2017-12-31,3.09,$-0.56,0.0
2017-09-30,1.5,$-0.14,0.0
2017-06-30,1.81,$-0.13,0.0
2017-03-31,2.12,$-0.09,0.0
2016-12-31,2.28,$0.18,12.67
2016-09-30,2.16,$0.21,10.31
2016-06-30,2.03,$0.19,10.68
2016-03-31,2.13,$0.21,10.16
2015-12-31,2.0,$0.10,19.97
2015-09-30,2.21,$0.07,31.56
2015-06-30,2.31,$0.07,33.0
2015-03-31,2.26,$-0.27,0.0
2014-12-31,1.75,$-0.28,0.0
2014-09-30,2.06,$-0.77,0.0
2014-06-30,3.19,$-0.75,0.0
2014-03-31,4.99,$0.16,31.19
2013-12-31,5.04,$0.18,27.98
2013-09-30,4.97,$0.70,7.11
2013-06-30,4.8,$0.74,6.49
2013-03-31,4.87,$0.25,19.46
2012-12-31,4.47,$0.35,12.77
2012-09-30,4.64,$0.41,11.32
2012-06-30,4.9,$0.40,12.24
2012-03-31,4.91,$0.51,9.64
2011-12-31,4.49,$0.48,9.36
2011-09-30,5.23,$0.55,9.51
2011-06-30,5.45,$0.59,9.23
2011-03-31,6.45,$0.30,21.49
2010-12-31,4.31,$0.21,20.55
2010-09-30,4.63,$0.03,154.33
2010-06-30,4.5,$0.03,180.11
2010-03-31,4.74,$0.16,30.61
2009-12-31,4.55,$0.18,25.98
