Eyenovia PE Ratio Historical Data,Eyenovia PE Ratio Historical Data,Eyenovia PE Ratio Historical Data,Eyenovia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.44,,0.0
2024-09-30,0.52,$-58.40,0.0
2024-06-30,0.59,$-64.00,0.0
2024-03-31,0.99,$-60.00,0.0
2023-12-31,2.08,$-53.60,0.0
2023-09-30,1.66,$-52.80,0.0
2023-06-30,2.37,$-55.20,0.0
2023-03-31,3.53,$-60.00,0.0
2022-12-31,1.63,$-67.20,0.0
2022-09-30,1.96,$-45.60,0.0
2022-06-30,1.95,$-45.60,0.0
2022-03-31,3.05,$-43.20,0.0
2021-12-31,4.0,$-40.80,0.0
2021-09-30,4.9,$-62.40,0.0
2021-06-30,4.96,$-64.00,0.0
2021-03-31,5.11,$-68.80,0.0
2020-12-31,6.06,$-76.80,0.0
2020-09-30,3.12,$-88.00,0.0
2020-06-30,2.84,$-92.80,0.0
2020-03-31,2.3,$-108.00,0.0
2019-12-31,4.48,$-123.20,0.0
2019-09-30,3.7,$-146.40,0.0
2019-06-30,4.3,$-157.60,0.0
2019-03-31,5.99,$-148.80,0.0
2018-12-31,2.85,$-144.80,0.0
