Old National Bancorp PE Ratio Historical Data,Old National Bancorp PE Ratio Historical Data,Old National Bancorp PE Ratio Historical Data,Old National Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.37,,12.72
2024-12-31,21.71,$1.68,12.92
2024-09-30,18.55,$1.65,11.24
2024-06-30,16.96,$1.70,9.98
2024-03-31,17.03,$1.85,9.21
2023-12-31,16.38,$1.94,8.44
2023-09-30,13.97,$2.17,6.44
2023-06-30,13.27,$2.15,6.17
2023-03-31,13.58,$2.01,6.76
2022-12-31,16.8,$1.39,12.08
2022-09-30,15.27,$1.06,14.41
2022-06-30,13.6,$1.02,13.34
2022-03-31,14.93,$1.02,14.64
2021-12-31,16.39,$1.67,9.81
2021-09-30,15.21,$1.77,8.59
2021-06-30,15.67,$1.81,8.66
2021-03-31,17.09,$1.75,9.76
2020-12-31,14.52,$1.36,10.67
2020-09-30,10.91,$1.21,9.02
2020-06-30,11.84,$1.15,10.29
2020-03-31,11.23,$1.19,9.44
2019-12-31,15.44,$1.38,11.19
2019-09-30,14.42,$1.37,10.52
2019-06-30,13.8,$1.30,10.61
2019-03-31,13.53,$1.23,11.0
2018-12-31,12.61,$1.22,10.34
2018-09-30,15.7,$0.81,19.38
2018-06-30,15.03,$0.76,19.78
2018-03-31,13.56,$0.75,18.08
2017-12-31,13.89,$0.71,19.57
2017-09-30,14.47,$1.09,13.27
2017-06-30,13.53,$1.05,12.89
2017-03-31,13.5,$1.08,12.5
2016-12-31,14.02,$1.05,13.35
2016-09-30,10.78,$1.07,10.07
2016-06-30,9.52,$1.15,8.28
2016-03-31,9.17,$1.06,8.65
2015-12-31,10.09,$1.00,10.09
2015-09-30,10.27,$0.98,10.48
2015-06-30,10.58,$0.91,11.62
2015-03-31,10.29,$0.87,11.83
2014-12-31,10.7,$0.95,11.26
2014-09-30,9.25,$0.95,9.74
2014-06-30,10.1,$0.92,10.98
2014-03-31,10.47,$1.02,10.26
2013-12-31,10.7,$1.00,10.7
2013-09-30,9.83,$0.98,10.03
2013-06-30,9.5,$0.95,10.0
2013-03-31,9.38,$0.96,9.77
2012-12-31,8.03,$0.95,8.46
2012-09-30,9.14,$0.95,9.62
2012-06-30,8.01,$0.93,8.62
2012-03-31,8.7,$0.82,10.61
2011-12-31,7.66,$0.76,10.07
2011-09-30,6.08,$0.60,10.14
2011-06-30,7.0,$0.55,12.72
2011-03-31,6.9,$0.49,14.08
2010-12-31,7.61,$0.44,17.29
2010-09-30,6.67,$0.26,25.66
2010-06-30,6.53,$0.19,34.39
2010-03-31,7.49,$0.22,34.05
2009-12-31,7.75,$0.18,43.03
