EBay PE Ratio Historical Data,EBay PE Ratio Historical Data,EBay PE Ratio Historical Data,EBay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,66.34,,16.63
2024-12-31,61.95,$3.99,15.53
2024-09-30,64.83,$3.98,16.29
2024-06-30,53.25,$5.15,10.34
2024-03-31,52.06,$5.02,10.37
2023-12-31,42.79,$5.22,8.2
2023-09-30,42.99,$5.06,8.5
2023-06-30,43.34,$2.47,17.54
2023-03-31,42.77,$1.20,35.65
2022-12-31,39.75,$-2.13,0.0
2022-09-30,35.11,$-0.11,0.0
2022-06-30,39.55,$0.42,94.16
2022-03-31,54.1,$17.05,3.17
2021-12-31,62.57,$20.25,3.09
2021-09-30,65.38,$18.21,3.59
2021-06-30,65.73,$18.75,3.51
2021-03-31,57.17,$4.12,13.88
2020-12-31,46.76,$7.71,6.06
2020-09-30,48.33,$7.19,6.72
2020-06-30,48.51,$6.62,7.33
2020-03-31,27.7,$6.03,4.59
2019-12-31,33.13,$2.09,15.85
2019-09-30,35.62,$2.20,16.19
2019-06-30,35.97,$2.56,14.05
2019-03-31,33.69,$2.74,12.3
2018-12-31,25.37,$2.57,9.87
2018-09-30,29.84,$-0.74,0.0
2018-06-30,32.77,$-0.99,0.0
2018-03-31,36.37,$-1.61,0.0
2017-12-31,34.11,$-1.07,0.0
2017-09-30,34.76,$6.74,5.16
2017-06-30,31.56,$6.62,4.77
2017-03-31,30.34,$6.98,4.35
2016-12-31,26.83,$6.45,4.16
2016-09-30,29.73,$1.55,19.18
2016-06-30,21.16,$1.64,12.9
2016-03-31,21.56,$1.33,16.21
2015-12-31,24.83,$1.43,17.37
2015-09-30,22.09,$1.78,12.41
2015-06-30,21.42,$1.87,11.45
2015-03-31,20.51,$2.33,8.8
2014-12-31,19.95,0,0.0
2014-09-30,20.13,$-0.10,0.0
2014-06-30,17.8,$-0.11,0.0
2014-03-31,19.64,$-0.15,0.0
2013-12-31,19.51,$2.18,8.95
2013-09-30,19.84,$2.10,9.45
2013-06-30,18.39,$2.02,9.1
2013-03-31,19.28,$2.06,9.36
2012-12-31,18.13,$1.99,9.11
2012-09-30,17.2,$2.93,5.87
2012-06-30,14.94,$2.86,5.22
2012-03-31,13.12,$2.55,5.14
2011-12-31,10.78,$2.47,4.37
2011-09-30,10.48,$1.38,7.6
2011-06-30,11.47,$1.33,8.63
2011-03-31,11.04,$1.42,7.77
2010-12-31,9.89,$1.36,7.28
2010-09-30,8.68,$1.96,4.43
2010-06-30,6.97,$1.90,3.67
2010-03-31,9.59,$1.84,5.21
2009-12-31,8.37,$1.82,4.6
