A.k.a Brands Holding PE Ratio Historical Data,A.k.a Brands Holding PE Ratio Historical Data,A.k.a Brands Holding PE Ratio Historical Data,A.k.a Brands Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.27,,0.0
2024-12-31,18.72,$-2.46,0.0
2024-09-30,23.61,$-2.89,0.0
2024-06-30,15.25,$-8.96,0.0
2024-03-31,9.94,$-9.22,0.0
2023-12-31,8.05,$-9.21,0.0
2023-09-30,0.43,$-24.11,0.0
2023-06-30,0.43,$-17.53,0.0
2023-03-31,0.54,$-17.41,0.0
2022-12-31,1.27,$-16.45,0.0
2022-09-30,1.45,$-0.24,0.0
2022-06-30,2.76,$-1.56,0.0
