Citizens & Northern Corp PE Ratio Historical Data,Citizens & Northern Corp PE Ratio Historical Data,Citizens & Northern Corp PE Ratio Historical Data,Citizens & Northern Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.63,,12.21
2024-12-31,18.6,$1.69,11.01
2024-09-30,19.41,$1.44,13.48
2024-06-30,17.39,$1.53,11.37
2024-03-31,17.97,$1.52,11.82
2023-12-31,21.18,$1.57,13.49
2023-09-30,16.31,$1.79,9.11
2023-06-30,17.71,$1.58,11.21
2023-03-31,19.33,$1.67,11.58
2022-12-31,20.42,$1.71,11.94
2022-09-30,21.35,$1.67,12.79
2022-06-30,21.1,$1.85,11.41
2022-03-31,21.03,$1.81,11.62
2021-12-31,22.29,$1.92,11.61
2021-09-30,21.32,$1.89,11.28
2021-06-30,20.45,$1.60,12.78
2021-03-31,19.62,$1.55,12.66
2020-12-31,16.14,$1.30,12.42
2020-09-30,13.01,$1.27,10.24
2020-06-30,16.3,$1.48,11.02
2020-03-31,15.55,$1.36,11.43
2019-12-31,21.75,$1.47,14.8
2019-09-30,20.02,$1.53,13.08
2019-06-30,19.85,$1.59,12.48
2019-03-31,18.7,$1.84,10.16
2018-12-31,19.45,$1.79,10.86
2018-09-30,19.24,$1.49,12.91
2018-06-30,18.84,$1.36,13.85
2018-03-31,16.64,$1.18,14.1
2017-12-31,17.1,$1.10,15.55
2017-09-30,17.33,$1.29,13.43
2017-06-30,16.23,$0.97,16.73
2017-03-31,16.06,$0.95,16.91
2016-12-31,17.89,$0.96,18.63
2016-09-30,14.82,$0.94,15.76
2016-06-30,13.47,$1.29,10.44
2016-03-31,13.08,$1.33,9.83
2015-12-31,13.64,$1.35,10.1
2015-09-30,12.52,$1.37,9.14
2015-06-30,13.01,$1.36,9.56
2015-03-31,12.61,$1.33,9.48
2014-12-31,12.74,$1.36,9.37
2014-09-30,11.56,$1.35,8.57
2014-06-30,11.7,$1.39,8.42
2014-03-31,11.67,$1.46,7.99
2013-12-31,12.06,$1.50,8.04
2013-09-30,11.51,$1.62,7.11
2013-06-30,11.02,$1.69,6.52
2013-03-31,10.99,$1.75,6.28
2012-12-31,10.52,$1.83,5.75
2012-09-30,10.77,$1.88,5.73
2012-06-30,10.34,$1.92,5.39
2012-03-31,10.75,$1.93,5.57
2011-12-31,9.84,$1.92,5.13
2011-09-30,7.84,$1.81,4.33
2011-06-30,7.88,$1.66,4.75
2011-03-31,8.72,$1.56,5.59
2010-12-31,7.65,$1.45,5.27
2010-09-30,6.64,$1.47,4.51
2010-06-30,5.42,$-2.04,0.0
2010-03-31,6.31,$-3.42,0.0
2009-12-31,4.76,$-3.76,0.0
