Quest Resource Holding PE Ratio Historical Data,Quest Resource Holding PE Ratio Historical Data,Quest Resource Holding PE Ratio Historical Data,Quest Resource Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.94,,0.0
2024-12-31,6.5,$-0.26,0.0
2024-09-30,7.98,$-0.37,0.0
2024-06-30,8.8,$-0.31,0.0
2024-03-31,8.58,$-0.28,0.0
2023-12-31,7.33,$-0.35,0.0
2023-09-30,7.4,$-0.41,0.0
2023-06-30,6.52,$-0.40,0.0
2023-03-31,6.14,$-0.31,0.0
2022-12-31,6.11,$-0.32,0.0
2022-09-30,8.44,$-0.18,0.0
2022-06-30,4.09,$-0.07,0.0
2022-03-31,6.15,$-0.09,0.0
2021-12-31,6.94,$0.08,86.75
2021-09-30,6.1,$0.12,50.83
2021-06-30,6.35,$0.08,79.38
2021-03-31,3.9,$0.13,30.0
2020-12-31,2.31,$0.05,46.2
2020-09-30,1.9,$0.04,47.5
2020-06-30,1.35,$0.06,22.5
2020-03-31,1.17,$-0.02,0.0
2019-12-31,2.18,$-0.01,0.0
2019-09-30,2.5,0,0.0
2019-06-30,2.77,$-0.04,0.0
2019-03-31,1.65,$-0.08,0.0
2018-12-31,1.36,$-0.16,0.0
2018-09-30,2.56,$-0.27,0.0
2018-06-30,1.94,$-0.30,0.0
2018-03-31,2.21,$-0.34,0.0
2017-12-31,2.3,$-0.38,0.0
2017-09-30,1.16,$-0.37,0.0
2017-06-30,2.42,$-0.46,0.0
2017-03-31,2.35,$-0.52,0.0
2016-12-31,2.45,$-0.55,0.0
2016-09-30,2.02,$-0.62,0.0
2016-06-30,2.32,$-0.54,0.0
2016-03-31,3.36,$-0.48,0.0
2015-12-31,5.54,$-0.40,0.0
2015-09-30,4.48,$-0.40,0.0
2015-06-30,8.64,$-0.72,0.0
2015-03-31,10.08,$-0.80,0.0
2014-12-31,11.52,$-0.88,0.0
2014-09-30,13.76,$-0.88,0.0
2014-06-30,41.68,$-1.28,0.0
2014-03-31,16.96,$-1.12,0.0
2013-12-31,16.8,$-1.44,0.0
2013-09-30,18.56,$-1.28,0.0
2013-06-30,23.52,$-0.48,0.0
2013-03-31,24.0,$-0.48,0.0
2012-12-31,23.2,0,0.0
2012-09-30,17.6,0,0.0
2012-06-30,29.6,0,0.0
2012-03-31,26.4,0,0.0
2011-12-31,15.6,0,0.0
2011-09-30,18.8,0,0.0
2011-06-30,11.6,0,0.0
2011-03-31,28.0,0,0.0
2010-12-31,14.8,0,0.0
