Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,197.18,,22.08
2024-12-31,225.13,$8.93,25.21
2024-09-30,215.4,$8.58,25.1
2024-06-30,181.5,$7.97,22.77
2024-03-31,187.4,$8.00,23.42
2023-12-31,159.77,$8.48,18.84
2023-09-30,149.46,$8.69,17.2
2023-06-30,127.57,$9.46,13.49
2023-03-31,132.75,$10.42,12.74
2022-12-31,121.15,$11.01,11.0
2022-09-30,105.35,$10.98,9.59
2022-06-30,127.58,$10.81,11.8
2022-03-31,143.63,$9.78,14.69
2021-12-31,124.44,$8.83,14.09
2021-09-30,124.66,$7.85,15.88
2021-06-30,122.0,$6.68,18.26
2021-03-31,120.29,$5.10,23.59
2020-12-31,122.47,$4.84,25.3
2020-09-30,96.13,$4.97,19.34
2020-06-30,87.32,$5.40,16.17
2020-03-31,75.37,$6.85,11.0
2019-12-31,96.23,$7.33,13.13
2019-09-30,90.53,$8.06,11.23
2019-06-30,80.73,$8.35,9.67
2019-03-31,83.49,$8.28,10.08
2018-12-31,69.56,$7.79,8.93
2018-09-30,90.65,$8.47,10.7
2018-06-30,91.75,$7.76,11.82
2018-03-31,91.89,$7.31,12.57
2017-12-31,97.78,$7.07,13.83
2017-09-30,92.53,$5.40,17.14
2017-06-30,89.39,$5.19,17.22
2017-03-31,73.09,$4.90,14.92
2016-12-31,67.2,$4.75,14.15
2016-09-30,63.92,$4.65,13.75
2016-06-30,52.23,$4.70,11.11
2016-03-31,46.74,$4.63,10.1
2015-12-31,48.32,$4.46,10.83
2015-09-30,45.71,$4.39,10.41
2015-06-30,47.08,$4.14,11.37
2015-03-31,58.44,$3.99,14.65
2014-12-31,57.92,$3.99,14.52
2014-09-30,47.12,$5.32,8.86
2014-06-30,52.48,$5.12,10.25
2014-03-31,51.37,$4.77,10.77
2013-12-31,45.94,$4.47,10.28
2013-09-30,41.18,$2.77,14.87
2013-06-30,35.06,$2.32,15.11
2013-03-31,31.86,$2.12,15.03
2012-12-31,27.12,$1.68,16.14
2012-09-30,25.42,$1.45,17.53
2012-06-30,19.62,$1.46,13.44
2012-03-31,20.37,$1.39,14.66
2011-12-31,17.24,$1.58,10.91
2011-09-30,15.78,$1.72,9.18
2011-06-30,18.81,$2.21,8.51
2011-03-31,19.28,$2.19,8.8
2010-12-31,17.12,$2.01,8.52
2010-09-30,15.27,$2.04,7.48
2010-06-30,14.42,$1.84,7.84
2010-03-31,16.01,$2.54,6.3
2009-12-31,14.87,$2.60,5.72
