Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data,Northrop Grumman PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,489.23,,17.26
2024-12-31,469.29,$28.34,16.56
2024-09-30,525.84,$16.14,32.58
2024-06-30,432.4,$15.32,28.22
2024-03-31,472.68,$14.30,33.05
2023-12-31,460.42,$13.48,34.16
2023-09-30,431.22,$30.48,14.15
2023-06-30,444.58,$30.19,14.73
2023-03-31,448.44,$30.91,14.51
2022-12-31,527.98,$31.51,16.76
2022-09-30,453.63,$35.19,12.89
2022-06-30,459.95,$35.93,12.8
2022-03-31,428.25,$36.29,11.8
2021-12-31,369.23,$43.62,8.46
2021-09-30,342.04,$28.45,12.02
2021-06-30,343.67,$27.71,12.4
2021-03-31,304.74,$27.30,11.16
2020-12-31,285.5,$19.02,15.01
2020-09-30,294.2,$14.62,20.12
2020-06-30,285.49,$14.22,20.08
2020-03-31,279.74,$13.27,21.08
2019-12-31,316.89,$13.18,24.04
2019-09-30,344.0,$17.67,19.47
2019-06-30,295.5,$18.72,15.79
2019-03-31,245.5,$17.59,13.96
2018-12-31,222.08,$16.74,13.27
2018-09-30,286.48,$15.69,18.26
2018-06-30,276.63,$12.83,21.56
2018-03-31,312.73,$12.05,25.95
2017-12-31,274.04,$11.47,23.89
2017-09-30,256.05,$13.42,19.08
2017-06-30,227.61,$13.09,17.39
2017-03-31,210.06,$12.79,16.42
2016-12-31,204.66,$12.19,16.79
2016-09-30,187.59,$11.72,16.01
2016-06-30,194.07,$11.12,17.45
2016-03-31,172.06,$11.01,15.63
2015-12-31,163.48,$10.39,15.73
2015-09-30,143.08,$10.38,13.78
2015-06-30,136.11,$9.89,13.76
2015-03-31,137.43,$9.52,14.44
2014-12-31,125.32,$9.74,12.87
2014-09-30,111.47,$9.38,11.88
2014-06-30,100.66,$9.26,10.87
2014-03-31,103.21,$8.94,11.54
2013-12-31,95.39,$8.34,11.44
2013-09-30,78.86,$8.36,9.43
2013-06-30,68.1,$8.04,8.47
2013-03-31,57.26,$7.87,7.28
2012-12-31,54.71,$7.80,7.01
2012-09-30,53.32,$7.75,6.88
2012-06-30,50.79,$7.79,6.52
2012-03-31,48.18,$7.72,6.24
2011-12-31,45.74,$7.54,6.07
2011-09-30,40.43,$6.72,6.02
2011-06-30,53.22,$6.53,8.15
2011-03-31,47.75,$7.06,6.76
2010-12-31,44.47,$6.81,6.53
2010-09-30,41.31,$6.85,6.03
2010-06-30,36.78,$6.71,5.48
2010-03-31,43.96,$5.58,7.88
2009-12-31,37.18,$5.22,7.12
