Yunhong Green CTI PE Ratio Historical Data,Yunhong Green CTI PE Ratio Historical Data,Yunhong Green CTI PE Ratio Historical Data,Yunhong Green CTI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.04,,0.0
2024-09-30,0.84,$-0.08,0.0
2024-06-30,1.25,$-0.08,0.0
2024-03-31,1.59,$-0.07,0.0
2023-12-31,2.14,$-0.02,0.0
2023-09-30,2.65,$-0.05,0.0
2023-06-30,1.97,$-0.12,0.0
2023-03-31,1.59,$-0.21,0.0
2022-12-31,1.04,$-0.27,0.0
2022-09-30,0.66,$-0.26,0.0
2022-06-30,0.71,$-0.28,0.0
2022-03-31,1.23,$-0.06,0.0
2021-12-31,1.19,$-0.38,0.0
2021-09-30,1.94,$-0.38,0.0
2021-06-30,1.97,$-0.45,0.0
2021-03-31,2.3,$-0.98,0.0
2020-12-31,1.72,$-1.38,0.0
2020-09-30,1.65,$-1.38,0.0
2020-06-30,2.6,$-1.47,0.0
2020-03-31,0.96,$-1.87,0.0
2019-12-31,0.84,$-1.35,0.0
2019-09-30,2.09,$-2.14,0.0
2019-06-30,3.22,$-2.00,0.0
2019-03-31,3.12,$-1.12,0.0
2018-12-31,3.09,$-1.01,0.0
2018-09-30,3.31,$-0.46,0.0
2018-06-30,4.34,$-0.38,0.0
2018-03-31,4.0,$-0.59,0.0
2017-12-31,4.07,$-0.44,0.0
2017-09-30,4.2,$0.04,105.0
2017-06-30,5.68,$0.07,81.14
2017-03-31,5.71,$0.19,30.05
2016-12-31,5.85,$0.17,34.41
2016-09-30,6.39,$0.08,79.91
2016-06-30,6.73,$0.19,35.42
2016-03-31,6.45,$0.22,29.32
2015-12-31,5.11,$0.30,17.04
2015-09-30,3.75,$0.26,14.42
2015-06-30,3.62,$0.26,13.91
2015-03-31,4.05,$0.21,19.29
2014-12-31,3.76,$0.14,26.86
2014-09-30,3.9,$0.05,78.0
2014-06-30,4.57,$0.06,76.17
2014-03-31,5.57,$0.08,69.63
2013-12-31,5.84,$0.11,53.09
2013-09-30,4.83,$0.02,241.5
2013-06-30,5.02,$-0.05,0.0
2013-03-31,5.99,$-0.05,0.0
2012-12-31,5.16,$0.03,172.0
2012-09-30,4.87,$0.15,32.47
2012-06-30,4.95,$0.16,30.94
2012-03-31,5.02,$0.18,27.89
2011-12-31,4.38,$0.15,29.2
2011-09-30,4.2,$0.22,19.09
2011-06-30,5.2,$0.29,17.92
2011-03-31,4.93,$0.49,10.06
2010-12-31,5.94,$0.61,9.74
2010-09-30,6.81,$0.60,11.35
2010-06-30,6.63,$0.59,11.23
2010-03-31,3.51,$0.54,6.49
2009-12-31,2.22,$0.36,6.17
