Inogen PE Ratio Historical Data,Inogen PE Ratio Historical Data,Inogen PE Ratio Historical Data,Inogen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.45,,0.0
2024-12-31,9.17,$-1.52,0.0
2024-09-30,9.7,$-2.25,0.0
2024-06-30,8.13,$-3.97,0.0
2024-03-31,8.07,$-4.15,0.0
2023-12-31,5.49,$-4.41,0.0
2023-09-30,5.22,$-5.74,0.0
2023-06-30,11.55,$-4.19,0.0
2023-03-31,12.48,$-3.92,0.0
2022-12-31,19.71,$-3.66,0.0
2022-09-30,24.28,$-2.20,0.0
2022-06-30,24.18,$-1.25,0.0
2022-03-31,32.42,$-0.88,0.0
2021-12-31,34.0,$-0.29,0.0
2021-09-30,43.09,$0.49,87.94
2021-06-30,65.17,$-0.12,0.0
2021-03-31,52.52,$-0.22,0.0
2020-12-31,44.68,$-0.26,0.0
2020-09-30,29.0,$-0.09,0.0
2020-06-30,35.52,$0.30,118.4
2020-03-31,51.66,$0.63,82.0
2019-12-31,68.33,$0.94,72.69
2019-09-30,47.91,$1.44,33.27
2019-06-30,66.76,$1.86,35.89
2019-03-31,95.37,$2.06,46.3
2018-12-31,124.17,$2.30,53.99
2018-09-30,244.12,$1.83,133.4
2018-06-30,186.33,$1.43,130.3
2018-03-31,122.84,$1.16,105.9
2017-12-31,119.08,$0.95,125.35
2017-09-30,95.1,$1.23,77.32
2017-06-30,95.42,$1.06,90.02
2017-03-31,77.56,$0.93,83.4
2016-12-31,67.17,$0.77,87.23
2016-09-30,59.9,$0.71,84.37
2016-06-30,50.11,$0.68,73.69
2016-03-31,44.98,$0.60,74.97
2015-12-31,40.09,$0.57,70.33
2015-09-30,48.55,$0.45,107.89
2015-06-30,44.6,$0.43,103.72
2015-03-31,31.99,$0.37,86.46
2014-12-31,31.37,$0.28,112.04
