Green Dot PE Ratio Historical Data,Green Dot PE Ratio Historical Data,Green Dot PE Ratio Historical Data,Green Dot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.61,,0.0
2024-12-31,10.64,$-0.51,0.0
2024-09-30,11.71,$-1.05,0.0
2024-06-30,9.45,$-1.02,0.0
2024-03-31,9.33,$-0.47,0.0
2023-12-31,9.9,$0.13,76.15
2023-09-30,13.93,$0.69,20.19
2023-06-30,18.74,$0.90,20.82
2023-03-31,17.18,$1.16,14.81
2022-12-31,15.82,$1.17,13.52
2022-09-30,18.98,$0.87,21.82
2022-06-30,25.11,$0.91,27.59
2022-03-31,27.48,$1.09,25.21
2021-12-31,36.24,$0.85,42.64
2021-09-30,50.33,$0.59,85.31
2021-06-30,46.85,$0.40,117.13
2021-03-31,45.79,$0.01,4579.0
2020-12-31,55.8,$0.42,132.86
2020-09-30,50.61,$0.90,56.23
2020-06-30,49.08,$0.95,51.66
2020-03-31,25.39,$1.53,16.59
2019-12-31,23.3,$1.83,12.73
2019-09-30,25.25,$2.06,12.26
2019-06-30,48.9,$2.15,22.74
2019-03-31,60.65,$2.06,29.44
2018-12-31,79.52,$2.18,36.48
2018-09-30,88.82,$2.15,41.31
2018-06-30,73.39,$2.33,31.5
2018-03-31,64.16,$2.15,29.84
2017-12-31,60.26,$1.64,36.74
2017-09-30,49.58,$1.38,35.93
2017-06-30,38.53,$1.16,33.22
2017-03-31,33.36,$0.95,35.12
2016-12-31,23.55,$0.80,29.44
2016-09-30,23.06,$0.71,32.48
2016-06-30,22.99,$0.67,34.31
2016-03-31,22.97,$0.57,40.3
2015-12-31,16.42,$0.70,23.46
2015-09-30,17.6,$0.80,22.0
2015-06-30,19.12,$1.10,17.38
2015-03-31,15.92,$1.35,11.79
2014-12-31,20.49,$0.92,22.27
2014-09-30,21.14,$0.96,22.02
2014-06-30,18.98,$0.79,24.03
2014-03-31,19.53,$0.73,26.75
2013-12-31,25.15,$0.75,33.53
2013-09-30,26.33,$0.97,27.14
2013-06-30,19.95,$1.08,18.47
2013-03-31,16.71,$1.10,15.19
2012-12-31,12.2,$1.14,10.7
2012-09-30,12.23,$1.23,9.94
2012-06-30,22.12,$1.29,17.15
2012-03-31,26.52,$1.29,20.56
2011-12-31,31.22,$1.19,26.24
2011-09-30,31.32,$1.04,30.12
2011-06-30,33.98,$0.94,36.15
