FuelCell Energy PE Ratio Historical Data,FuelCell Energy PE Ratio Historical Data,FuelCell Energy PE Ratio Historical Data,FuelCell Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.24,,0.0
2025-01-31,7.68,$-6.41,0.0
2024-10-31,10.32,$-7.92,0.0
2024-07-31,15.19,$-7.81,0.0
2024-04-30,27.83,$-7.51,0.0
2024-01-31,36.0,$-8.11,0.0
2023-10-31,32.7,$-8.11,0.0
2023-07-31,65.7,$-9.31,0.0
2023-04-30,56.4,$-9.91,0.0
2023-01-31,109.8,$-9.61,0.0
2022-10-31,93.6,$-11.41,0.0
2022-07-31,107.7,$-10.21,0.0
2022-04-30,122.4,$-9.01,0.0
2022-01-31,127.2,$-8.41,0.0
2021-10-31,239.7,$-9.61,0.0
2021-07-31,189.9,$-9.91,0.0
2021-04-30,291.3,$-10.81,0.0
2021-01-31,622.8,$-11.11,0.0
2020-10-31,60.0,$-12.61,0.0
2020-07-31,66.9,$-17.12,0.0
2020-04-30,60.6,$-20.42,0.0
2020-01-31,47.7,$-80.18,0.0
2019-10-31,7.15,$-193.14,0.0
2019-07-31,10.16,$-254.73,0.0
2019-04-30,94.32,$-321.43,0.0
2019-01-31,184.75,$-342.48,0.0
2018-10-31,304.31,$-266.77,0.0
2018-07-31,468.0,$-259.56,0.0
2018-04-30,669.6,$-299.22,0.0
2018-01-31,601.2,$-335.27,0.0
2017-10-31,788.4,$-432.61,0.0
2017-07-31,558.0,$-519.13,0.0
2017-04-30,414.0,$-544.36,0.0
2017-01-31,540.0,$-627.28,0.0
2016-10-31,1206.0,$-659.72,0.0
2016-07-31,1940.4,$-648.91,0.0
2016-04-30,2145.6,$-598.47,0.0
2016-01-31,1918.8,$-569.70,0.0
2015-10-31,3821.04,$-483.22,0.0
2015-07-31,3636.58,$-432.78,0.0
2015-04-30,5313.6,$-476.06,0.0
2015-01-31,5184.0,$-605.89,0.0
2014-10-31,8726.4,$-779.00,0.0
2014-07-31,10713.6,$-952.11,0.0
2014-04-30,9806.4,$-952.11,0.0
2014-01-31,6177.6,$-822.28,0.0
2013-10-31,5788.8,$-865.56,0.0
2013-07-31,5248.8,$-908.84,0.0
2013-04-30,4536.0,"$-1,038.67",0.0
2013-01-31,4708.8,"$-1,125.22",0.0
2012-10-31,4019.76,"$-1,038.67",0.0
2012-07-31,4492.8,$-995.39,0.0
2012-04-30,5356.8,"$-1,038.67",0.0
2012-01-31,4233.6,"$-1,817.67",0.0
2011-10-31,4622.4,"$-2,034.06",0.0
2011-07-31,5745.6,"$-2,250.45",0.0
2011-04-30,7387.2,"$-2,596.67",0.0
2011-01-31,7560.0,"$-2,423.56",0.0
2010-10-31,4924.8,"$-2,769.78",0.0
2010-07-31,5659.2,"$-3,202.55",0.0
2010-04-30,11880.0,"$-3,462.22",0.0
2010-01-31,12182.4,"$-3,851.70",0.0
2009-10-31,14385.6,"$-4,371.05",0.0
