Lexicon Pharmaceuticals PE Ratio Historical Data,Lexicon Pharmaceuticals PE Ratio Historical Data,Lexicon Pharmaceuticals PE Ratio Historical Data,Lexicon Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.34,,0.0
2024-12-31,0.74,$-0.64,0.0
2024-09-30,1.57,$-0.75,0.0
2024-06-30,1.68,$-0.78,0.0
2024-03-31,2.4,$-0.83,0.0
2023-12-31,1.53,$-0.80,0.0
2023-09-30,1.09,$-0.76,0.0
2023-06-30,2.29,$-0.68,0.0
2023-03-31,2.43,$-0.62,0.0
2022-12-31,1.91,$-0.61,0.0
2022-09-30,2.4,$-0.62,0.0
2022-06-30,1.86,$-0.65,0.0
2022-03-31,2.09,$-0.62,0.0
2021-12-31,3.94,$-0.61,0.0
2021-09-30,4.81,$-0.48,0.0
2021-06-30,4.59,$0.39,11.77
2021-03-31,5.87,$-0.13,0.0
2020-12-31,3.42,$-0.61,0.0
2020-09-30,1.44,$-1.05,0.0
2020-06-30,2.0,$0.19,10.5
2020-03-31,1.95,$0.62,3.15
2019-12-31,4.15,$1.04,3.99
2019-09-30,3.01,$1.36,2.21
2019-06-30,6.29,$-0.85,0.0
2019-03-31,5.56,$-0.96,0.0
2018-12-31,6.64,$-1.15,0.0
2018-09-30,10.67,$-1.26,0.0
2018-06-30,12.0,$-1.29,0.0
2018-03-31,8.57,$-1.29,0.0
2017-12-31,9.88,$-1.22,0.0
2017-09-30,12.29,$-1.26,0.0
2017-06-30,16.45,$-1.32,0.0
2017-03-31,14.34,$-1.36,0.0
2016-12-31,13.83,$-1.37,0.0
2016-09-30,18.07,$-0.30,0.0
2016-06-30,14.35,$-0.29,0.0
2016-03-31,11.95,$-0.19,0.0
2015-12-31,13.31,$-0.13,0.0
2015-09-30,10.74,$-0.89,0.0
2015-06-30,8.05,$-1.11,0.0
2015-03-31,6.61,$-1.19,0.0
2014-12-31,6.37,$-1.33,0.0
2014-09-30,9.87,$-1.54,0.0
2014-06-30,11.27,$-1.40,0.0
2014-03-31,12.11,$-1.47,0.0
2013-12-31,12.59,$-1.40,0.0
2013-09-30,16.66,$-1.54,0.0
2013-06-30,15.19,$-1.54,0.0
2013-03-31,15.26,$-1.47,0.0
2012-12-31,15.47,$-1.54,0.0
2012-09-30,16.24,$-1.89,0.0
2012-06-30,15.72,$-2.03,0.0
2012-03-31,13.02,$-2.24,0.0
2011-12-31,9.03,$-2.45,0.0
2011-09-30,6.44,$-2.24,0.0
2011-06-30,12.32,$-2.24,0.0
2011-03-31,11.76,$-2.17,0.0
2010-12-31,10.08,$-2.45,0.0
2010-09-30,11.2,$-2.87,0.0
2010-06-30,8.96,$-3.29,0.0
2010-03-31,10.43,$-3.85,0.0
2009-12-31,11.9,$-4.06,0.0
