Service PE Ratio Historical Data,Service PE Ratio Historical Data,Service PE Ratio Historical Data,Service PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,78.78,,22.19
2024-12-31,79.82,$3.55,22.48
2024-09-30,78.66,$3.44,22.86
2024-06-30,70.62,$3.43,20.59
2024-03-31,73.37,$3.48,21.08
2023-12-31,67.4,$3.52,19.15
2023-09-30,56.03,$3.18,17.62
2023-06-30,63.03,$3.14,20.07
2023-03-31,66.85,$3.10,21.56
2022-12-31,66.92,$3.51,19.07
2022-09-30,55.67,$4.16,13.38
2022-06-30,66.37,$4.63,14.33
2022-03-31,62.96,$4.73,13.31
2021-12-31,67.63,$4.72,14.33
2021-09-30,57.21,$4.63,12.36
2021-06-30,50.69,$4.12,12.3
2021-03-31,48.1,$3.79,12.69
2020-12-31,46.06,$2.91,15.83
2020-09-30,39.4,$2.55,15.45
2020-06-30,36.17,$2.21,16.37
2020-03-31,36.19,$2.01,18.01
2019-12-31,42.41,$1.99,21.31
2019-09-30,43.87,$2.24,19.59
2019-06-30,42.77,$2.23,19.18
2019-03-31,36.56,$2.39,15.3
2018-12-31,36.5,$2.39,15.27
2018-09-30,39.91,$2.64,15.12
2018-06-30,32.19,$2.56,12.57
2018-03-31,33.78,$2.37,14.25
2017-12-31,33.26,$2.85,11.67
2017-09-30,30.62,$1.90,16.12
2017-06-30,29.56,$1.85,15.98
2017-03-31,27.17,$1.57,17.3
2016-12-31,24.88,$0.90,27.64
2016-09-30,23.14,$0.92,25.15
2016-06-30,23.46,$0.91,25.78
2016-03-31,21.31,$1.08,19.73
2015-12-31,22.35,$1.14,19.61
2015-09-30,23.17,$1.20,19.31
2015-06-30,25.06,$1.05,23.87
2015-03-31,22.11,$0.92,24.03
2014-12-31,19.19,$0.81,23.69
2014-09-30,17.8,$0.51,34.9
2014-06-30,17.37,$0.55,31.59
2014-03-31,16.6,$0.59,28.14
2013-12-31,15.08,$0.67,22.51
2013-09-30,15.43,$0.67,23.03
2013-06-30,14.88,$0.74,20.11
2013-03-31,13.75,$0.75,18.34
2012-12-31,11.31,$0.70,16.16
2012-09-30,10.93,$0.78,14.01
2012-06-30,10.0,$0.74,13.51
2012-03-31,9.06,$0.68,13.32
2011-12-31,8.53,$0.62,13.76
2011-09-30,7.3,$0.57,12.81
2011-06-30,9.27,$0.50,18.53
2011-03-31,8.74,$0.55,15.88
2010-12-31,6.49,$0.51,12.72
2010-09-30,6.75,$0.49,13.77
2010-06-30,5.76,$0.53,10.87
2010-03-31,7.12,$0.46,15.47
2009-12-31,6.32,$0.48,13.16
