Eledon Pharmaceuticals PE Ratio Historical Data,Eledon Pharmaceuticals PE Ratio Historical Data,Eledon Pharmaceuticals PE Ratio Historical Data,Eledon Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.44,,0.0
2024-09-30,2.49,$-2.01,0.0
2024-06-30,2.64,$-2.04,0.0
2024-03-31,2.06,$-1.38,0.0
2023-12-31,1.8,$-1.79,0.0
2023-09-30,1.37,$-5.59,0.0
2023-06-30,1.37,$-5.97,0.0
2023-03-31,2.36,$-6.22,0.0
2022-12-31,2.28,$-6.16,0.0
2022-09-30,2.76,$-2.66,0.0
2022-06-30,2.44,$-2.59,0.0
2022-03-31,3.94,$-2.44,0.0
2021-12-31,4.41,$-2.32,0.0
2021-09-30,6.18,$-1.73,0.0
2021-06-30,7.91,$-6.58,0.0
2021-03-31,10.7,$-8.78,0.0
2020-12-31,15.4,$-16.66,0.0
2020-09-30,17.1,$-22.42,0.0
2020-06-30,8.25,$-20.86,0.0
2020-03-31,7.02,$-24.46,0.0
2019-12-31,10.44,$-25.36,0.0
2019-09-30,11.16,$-28.42,0.0
2019-06-30,18.18,$-31.12,0.0
2019-03-31,72.36,$-30.94,0.0
2018-12-31,28.8,$-28.06,0.0
2018-09-30,84.06,$-20.14,0.0
2018-06-30,126.0,$-21.22,0.0
2018-03-31,90.72,$-38.85,0.0
2017-12-31,73.08,$-32.37,0.0
2017-09-30,93.78,$-31.47,0.0
2017-06-30,105.3,$-90.12,0.0
2017-03-31,135.35,$-163.51,0.0
2016-12-31,158.42,$-246.07,0.0
2016-09-30,247.86,$-325.39,0.0
2016-06-30,892.62,$-344.82,0.0
2016-03-31,908.82,$-312.44,0.0
2015-12-31,1412.64,$-325.39,0.0
2015-09-30,1676.7,$-291.40,0.0
2015-06-30,2154.6,$-644.31,0.0
