Dell PE Ratio Historical Data,Dell PE Ratio Historical Data,Dell PE Ratio Historical Data,Dell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.92,,17.48
2024-10-31,123.63,$5.66,21.84
2024-07-31,113.68,$5.44,20.9
2024-04-30,124.64,$4.90,25.44
2024-01-31,82.88,$4.37,18.97
2023-10-31,66.91,$3.62,18.48
2023-07-31,52.92,$2.59,20.43
2023-04-30,43.49,$2.64,16.47
2023-01-31,40.62,$3.22,12.61
2022-10-31,38.4,$2.38,16.13
2022-07-31,45.06,$6.92,6.51
2022-04-30,46.66,$7.29,6.4
2022-01-31,56.0,$7.05,7.94
2021-10-31,53.97,$8.62,6.26
2021-07-31,47.41,$4.83,9.82
2021-04-30,48.25,$5.15,9.37
2021-01-31,35.77,$4.21,8.5
2020-10-31,29.57,$3.18,9.3
2020-07-31,29.36,$2.76,10.64
2020-04-30,20.95,$6.22,3.37
2020-01-31,23.93,$6.42,3.73
2019-10-31,25.95,$5.02,5.17
2019-07-31,28.33,$2.52,11.24
2019-04-30,33.08,$-3.76,0.0
2019-01-31,23.84,$-6.10,0.0
2018-10-31,44.35,$-5.75,0.0
2018-07-31,45.4,$-5.96,0.0
2018-04-30,35.22,$-6.48,0.0
2018-01-31,35.18,$-7.10,0.0
2017-10-31,40.61,$-7.25,0.0
2017-07-31,31.54,$-9.71,0.0
