Rayonier Advanced Materials PE Ratio Historical Data,Rayonier Advanced Materials PE Ratio Historical Data,Rayonier Advanced Materials PE Ratio Historical Data,Rayonier Advanced Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.43,,0.0
2024-12-31,8.25,$-0.59,0.0
2024-09-30,8.56,$-1.28,0.0
2024-06-30,5.44,$-1.18,0.0
2024-03-31,4.78,$-1.61,0.0
2023-12-31,4.05,$-1.57,0.0
2023-09-30,3.54,$-0.58,0.0
2023-06-30,4.28,$0.26,16.46
2023-03-31,6.27,$0.16,39.19
2022-12-31,9.6,$-0.25,0.0
2022-09-30,3.15,$-0.68,0.0
2022-06-30,2.62,$-1.20,0.0
2022-03-31,6.57,$1.05,6.26
2021-12-31,5.71,$1.01,5.65
2021-09-30,7.5,$1.53,4.9
2021-06-30,6.69,$2.05,3.26
2021-03-31,9.07,$-0.04,0.0
2020-12-31,6.52,$0.01,0.0
2020-09-30,3.2,$0.32,10.0
2020-06-30,2.81,$-0.42,0.0
2020-03-31,1.06,$-0.59,0.0
2019-12-31,3.84,$-0.73,0.0
2019-09-30,4.33,$-1.00,0.0
2019-06-30,6.49,$-0.11,0.0
2019-03-31,13.42,$1.09,12.31
2018-12-31,10.48,$1.99,5.27
2018-09-30,18.03,$6.82,2.64
2018-06-30,16.67,$6.50,2.56
2018-03-31,20.85,$5.70,3.66
2017-12-31,19.79,$5.47,3.62
2017-09-30,13.21,$0.64,20.64
2017-06-30,15.08,$0.80,18.85
2017-03-31,12.85,$1.23,10.45
2016-12-31,14.69,$1.57,9.36
2016-09-30,12.65,$1.69,7.48
2016-06-30,12.78,$2.01,6.36
2016-03-31,8.88,$1.54,5.77
2015-12-31,9.08,$1.30,6.99
2015-09-30,5.64,$0.45,12.53
2015-06-30,14.8,$0.15,98.68
2015-03-31,13.51,$0.27,50.04
