Obsidian Energy PE Ratio Historical Data,Obsidian Energy PE Ratio Historical Data,Obsidian Energy PE Ratio Historical Data,Obsidian Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.83,,0.0
2024-12-31,5.79,$-1.88,0.0
2024-09-30,5.54,$1.07,5.18
2024-06-30,7.48,$0.98,7.63
2024-03-31,8.22,$0.80,10.28
2023-12-31,6.78,$0.96,7.06
2023-09-30,8.22,$6.15,1.34
2023-06-30,5.83,$6.30,0.93
2023-03-31,6.4,$7.19,0.89
2022-12-31,6.64,$7.14,0.93
2022-09-30,7.17,$1.85,3.88
2022-06-30,7.74,$1.96,3.95
2022-03-31,8.86,$4.35,2.04
2021-12-31,4.12,$4.37,0.94
2021-09-30,3.57,$4.17,0.86
2021-06-30,3.42,$3.65,0.94
2021-03-31,1.45,$-0.01,0.0
2020-12-31,0.67,$-7.87,0.0
2020-09-30,0.37,$-13.52,0.0
2020-06-30,0.42,$-13.77,0.0
2020-03-31,0.17,$-15.21,0.0
2019-12-31,0.72,$-8.15,0.0
2019-09-30,0.84,$-3.70,0.0
2019-06-30,1.19,$-3.76,0.0
2019-03-31,1.93,$-3.15,0.0
2018-12-31,2.82,$-3.29,0.0
2018-09-30,6.65,$-2.73,0.0
2018-06-30,7.91,$-2.87,0.0
2018-03-31,6.85,$-1.89,0.0
2017-12-31,8.68,$-0.91,0.0
2017-09-30,7.35,$-2.66,0.0
2017-06-30,8.89,$-4.62,0.0
2017-03-31,11.9,$-5.95,0.0
2016-12-31,12.39,$-7.28,0.0
2016-09-30,12.67,$-21.69,0.0
2016-06-30,9.73,$-27.36,0.0
2016-03-31,6.51,$-26.31,0.0
2015-12-31,5.85,$-28.13,0.0
2015-09-30,3.15,$-31.00,0.0
2015-06-30,11.91,$-23.09,0.0
2015-03-31,11.31,$-20.92,0.0
2014-12-31,14.19,$-19.31,0.0
2014-09-30,43.54,$-9.10,0.0
2014-06-30,61.82,$-8.54,0.0
2014-03-31,52.25,$-10.92,0.0
2013-12-31,51.47,$-11.06,0.0
2013-09-30,67.47,$-2.38,0.0
2013-06-30,63.36,$-3.71,0.0
2013-03-31,62.91,$0.35,179.79
2012-12-31,60.58,$2.59,23.4
2012-09-30,77.49,$2.45,31.64
2012-06-30,71.48,$5.46,13.1
2012-03-31,102.32,$6.09,16.81
2011-12-31,102.13,$9.87,10.35
2011-09-30,75.17,$10.43,7.21
2011-06-30,115.49,$8.05,14.35
2011-03-31,136.94,$6.93,19.77
2010-12-31,117.06,$3.57,32.8
2010-09-30,97.07,$3.71,26.17
2010-06-30,90.27,$4.20,21.5
2010-03-31,98.06,$0.56,175.14
2009-12-31,79.91,$-2.45,0.0
