Exela Technologies PE Ratio Historical Data,Exela Technologies PE Ratio Historical Data,Exela Technologies PE Ratio Historical Data,Exela Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-27,1.2,,0.0
2024-09-30,2.06,$-8.57,0.0
2024-06-30,2.43,$-8.39,0.0
2024-03-31,3.25,$-9.18,0.0
2023-12-31,3.36,$-23.45,0.0
2023-09-30,4.22,$-19.16,0.0
2023-06-30,4.65,$-291.19,0.0
2023-03-31,7.78,$-930.00,0.0
2022-12-31,16.4,"$-1,600.00",0.0
2022-09-30,90.62,"$-3,200.00",0.0
2022-06-30,457.6,"$-3,284.00",0.0
2022-03-31,1664.8,"$-3,960.00",0.0
2021-12-31,3509.6,"$-6,320.00",0.0
2021-09-30,7760.0,"$-12,000.00",0.0
2021-06-30,9560.0,"$-14,040.24",0.0
2021-03-31,8720.0,"$-16,800.65",0.0
2020-12-31,4983.6,"$-14,720.74",0.0
2020-09-30,4616.4,"$-32,523.25",0.0
2020-06-30,6650.4,"$-40,804.08",0.0
2020-03-31,2460.0,"$-39,483.95",0.0
2019-12-31,4892.4,"$-41,044.11",0.0
2019-09-30,14160.0,"$-22,682.27",0.0
2019-06-30,26280.0,"$-14,401.44",0.0
2019-03-31,40080.0,"$-13,681.37",0.0
2018-12-31,46680.0,"$-13,081.31",0.0
2018-09-30,85560.0,"$-10,201.02",0.0
2018-06-30,57000.0,"$-18,841.88",0.0
2018-03-31,66360.0,"$-16,801.68",0.0
2017-12-31,61800.0,"$-14,881.48",0.0
2017-09-30,58800.0,"$-11,041.10",0.0
2017-06-30,119040.0,0,0.0
2017-03-31,119640.0,$120.01,996.9
2016-12-31,119400.0,$120.01,994.9
2016-09-30,118918.8,$120.01,990.89
2016-06-30,118680.0,$120.01,988.9
2016-03-31,117360.0,0,0.0
2015-12-31,116400.0,0,0.0
