NSTS Bancorp PE Ratio Historical Data,NSTS Bancorp PE Ratio Historical Data,NSTS Bancorp PE Ratio Historical Data,NSTS Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.83,,0.0
2024-09-30,10.35,$-0.90,0.0
2024-06-30,9.63,$-0.92,0.0
2024-03-31,9.54,$-0.88,0.0
2023-12-31,9.51,$-0.80,0.0
2023-09-30,9.05,$-0.04,0.0
2023-06-30,9.14,$0.03,304.67
2023-03-31,9.09,$0.09,101.0
2022-12-31,10.13,$-0.01,0.0
