Global Self Storage PE Ratio Historical Data,Global Self Storage PE Ratio Historical Data,Global Self Storage PE Ratio Historical Data,Global Self Storage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.15,,19.07
2024-09-30,5.14,$0.27,19.03
2024-06-30,4.73,$0.19,24.89
2024-03-31,4.27,$0.19,22.45
2023-12-31,4.37,$0.26,16.8
2023-09-30,4.51,$0.20,22.55
2023-06-30,4.62,$0.26,17.77
2023-03-31,4.64,$0.25,18.54
2022-12-31,4.34,$0.19,22.84
2022-09-30,5.14,$0.28,18.35
2022-06-30,4.87,$0.26,18.75
2022-03-31,4.8,$0.31,15.47
2021-12-31,4.82,$0.32,15.07
2021-09-30,4.3,$0.19,22.65
2021-06-30,4.3,$0.17,25.3
2021-03-31,3.89,$0.08,48.62
2020-12-31,3.23,0,0.0
2020-09-30,3.18,0,0.0
2020-06-30,3.01,$-0.01,0.0
2020-03-31,2.7,$0.01,269.63
2019-12-31,3.25,$0.07,46.41
2019-09-30,3.54,$0.08,44.28
2019-06-30,2.76,$0.06,46.0
2019-03-31,2.79,$0.09,30.98
2018-12-31,2.79,$0.08,34.82
2018-09-30,2.93,$0.07,41.85
2018-06-30,2.86,$0.04,71.4
2018-03-31,2.99,$-0.01,0.0
2017-12-31,3.08,$-0.02,0.0
2017-09-30,3.18,$-0.02,0.0
2017-06-30,3.18,$-0.03,0.0
2017-03-31,3.06,$-0.03,0.0
2016-12-31,3.01,$-0.03,0.0
