Old Point Financial PE Ratio Historical Data,Old Point Financial PE Ratio Historical Data,Old Point Financial PE Ratio Historical Data,Old Point Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.9,,18.69
2024-09-30,19.2,$1.60,12.0
2024-06-30,14.47,$1.40,10.34
2024-03-31,17.34,$1.26,13.77
2023-12-31,17.38,$1.54,11.28
2023-09-30,17.56,$1.78,9.86
2023-06-30,16.55,$2.02,8.19
2023-03-31,22.5,$2.03,11.08
2022-12-31,25.38,$1.80,14.1
2022-09-30,25.92,$1.59,16.3
2022-06-30,23.5,$1.44,16.32
2022-03-31,22.65,$1.42,15.95
2021-12-31,21.5,$1.61,13.35
2021-09-30,19.44,$1.39,13.98
2021-06-30,22.7,$1.24,18.31
2021-03-31,21.28,$1.37,15.53
2020-12-31,17.06,$1.03,16.56
2020-09-30,13.53,$1.31,10.33
2020-06-30,13.52,$1.53,8.84
2020-03-31,13.3,$1.36,9.78
2019-12-31,24.08,$1.51,15.95
2019-09-30,20.76,$1.40,14.83
2019-06-30,19.14,$1.28,14.95
2019-03-31,18.3,$1.16,15.78
2018-12-31,18.75,$0.96,19.53
2018-09-30,25.57,$0.11,232.44
2018-06-30,24.58,$-0.05,0.0
2018-03-31,22.37,$-0.01,0.0
2017-12-31,25.12,$-0.01,0.0
2017-09-30,27.26,$0.72,37.86
2017-06-30,27.56,$0.84,32.82
2017-03-31,25.18,$0.72,34.98
2016-12-31,20.8,$0.74,28.11
2016-09-30,17.11,$0.65,26.33
2016-06-30,15.81,$0.55,28.74
2016-03-31,15.25,$0.70,21.79
2015-12-31,14.0,$0.73,19.17
2015-09-30,12.75,$0.94,13.56
2015-06-30,12.61,$0.91,13.86
2015-03-31,12.04,$0.87,13.84
2014-12-31,11.97,$0.83,14.43
2014-09-30,11.72,$0.60,19.53
2014-06-30,12.17,$0.67,18.17
2014-03-31,13.28,$0.66,20.13
2013-12-31,10.06,$0.64,15.72
2013-09-30,10.15,$0.88,11.54
2013-06-30,10.18,$0.89,11.44
2013-03-31,9.96,$0.81,12.29
2012-12-31,8.52,$0.85,10.03
2012-09-30,8.35,$0.74,11.28
2012-06-30,8.25,$0.73,11.3
2012-03-31,8.37,$0.60,13.95
2011-12-31,7.65,$0.38,20.12
2011-09-30,7.72,$0.30,25.74
2011-06-30,8.8,$0.30,29.32
2011-03-31,8.6,$0.50,17.2
2010-12-31,8.96,$0.31,28.89
2010-09-30,8.68,$0.30,28.93
2010-06-30,9.59,$0.33,29.07
2010-03-31,10.83,0,0.0
2009-12-31,11.33,$0.35,32.37
