Peakstone Realty Trust PE Ratio Historical Data,Peakstone Realty Trust PE Ratio Historical Data,Peakstone Realty Trust PE Ratio Historical Data,Peakstone Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.57,,0.0
2024-12-31,11.07,$-0.28,0.0
2024-09-30,13.63,$-1.18,0.0
2024-06-30,10.6,$-4.06,0.0
2024-03-31,16.13,$-15.55,0.0
