Sonoco Products PE Ratio Historical Data,Sonoco Products PE Ratio Historical Data,Sonoco Products PE Ratio Historical Data,Sonoco Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,47.83,,28.99
2024-12-31,48.85,$1.65,29.61
2024-09-30,54.07,$2.91,18.58
2024-06-30,49.68,$3.72,13.35
2024-03-31,56.15,$3.96,14.18
2023-12-31,53.76,$4.80,11.2
2023-09-30,51.8,$4.96,10.44
2023-06-30,55.75,$4.88,11.42
2023-03-31,57.13,$5.05,11.31
2022-12-31,56.37,$4.72,11.94
2022-09-30,52.23,$4.40,11.87
2022-06-30,52.1,$4.28,12.17
2022-03-31,56.68,$-0.39,0.0
2021-12-31,52.05,$-0.85,0.0
2021-09-30,53.17,$-1.63,0.0
2021-06-30,59.28,$-1.93,0.0
2021-03-31,55.73,$1.96,28.43
2020-12-31,51.78,$2.05,25.26
2020-09-30,44.28,$2.60,17.03
2020-06-30,44.97,$2.69,16.72
2020-03-31,39.51,$2.94,13.44
2019-12-31,52.18,$2.87,18.18
2019-09-30,48.84,$3.21,15.22
2019-06-30,54.43,$3.02,18.02
2019-03-31,50.91,$3.10,16.42
2018-12-31,43.65,$3.10,14.08
2018-09-30,45.27,$2.39,18.94
2018-06-30,42.51,$2.39,17.79
2018-03-31,38.97,$1.94,20.09
2017-12-31,42.35,$1.74,24.34
2017-09-30,39.9,$2.72,14.67
2017-06-30,40.35,$2.64,15.28
2017-03-31,41.21,$2.76,14.93
2016-12-31,40.76,$2.82,14.45
2016-09-30,40.56,$2.33,17.41
2016-06-30,37.86,$2.12,17.86
2016-03-31,36.73,$2.20,16.7
2015-12-31,30.66,$2.47,12.41
2015-09-30,28.07,$2.45,11.46
2015-06-30,31.62,$2.71,11.67
2015-03-31,33.28,$2.67,12.46
2014-12-31,31.77,$2.31,13.75
2014-09-30,28.34,$2.31,12.27
2014-06-30,31.44,$2.21,14.22
2014-03-31,29.13,$2.15,13.55
2013-12-31,29.41,$2.12,13.87
2013-09-30,27.24,$2.01,13.55
2013-06-30,23.99,$1.99,12.06
2013-03-31,24.07,$1.96,12.28
2012-12-31,20.26,$1.91,10.61
2012-09-30,20.9,$1.78,11.74
2012-06-30,20.14,$1.97,10.22
2012-03-31,21.97,$1.99,11.04
2011-12-31,21.61,$2.13,10.15
2011-09-30,18.34,$2.17,8.45
2011-06-30,22.87,$1.98,11.55
2011-03-31,23.12,$2.04,11.33
2010-12-31,21.32,$1.96,10.88
2010-09-30,20.99,$2.09,10.04
2010-06-30,18.97,$1.99,9.53
2010-03-31,19.0,$1.74,10.92
2009-12-31,17.88,$1.49,12.0
