American Realty Investors PE Ratio Historical Data,American Realty Investors PE Ratio Historical Data,American Realty Investors PE Ratio Historical Data,American Realty Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.91,,0.0
2024-09-30,17.54,$-1.03,0.0
2024-06-30,14.2,$0.23,61.74
2024-03-31,17.92,$0.17,105.41
2023-12-31,17.41,$0.24,72.54
2023-09-30,14.62,$3.06,4.78
2023-06-30,21.78,$21.60,1.01
2023-03-31,26.32,$22.60,1.16
2022-12-31,25.65,$23.12,1.11
2022-09-30,15.92,$20.01,0.8
2022-06-30,14.19,$2.49,5.7
2022-03-31,15.37,$-0.21,0.0
2021-12-31,12.65,$0.21,60.24
2021-09-30,13.14,$0.66,19.91
2021-06-30,9.31,$-0.04,0.0
2021-03-31,8.83,$1.51,5.85
2020-12-31,10.9,$0.57,19.12
2020-09-30,9.07,$0.57,15.91
2020-06-30,8.99,$-0.40,0.0
2020-03-31,9.24,$-0.43,0.0
2019-12-31,17.13,$-0.99,0.0
2019-09-30,15.38,$8.24,1.87
2019-06-30,13.64,$9.97,1.37
2019-03-31,12.1,$10.49,1.15
2018-12-31,12.07,$10.81,1.12
2018-09-30,16.92,$1.46,11.59
2018-06-30,15.81,$0.79,20.01
2018-03-31,19.38,$-0.28,0.0
2017-12-31,12.85,$-0.61,0.0
2017-09-30,8.65,$-0.43,0.0
2017-06-30,8.52,$-1.28,0.0
2017-03-31,8.04,$-0.40,0.0
2016-12-31,5.17,$-0.25,0.0
2016-09-30,7.81,$-0.45,0.0
2016-06-30,6.78,$-0.54,0.0
2016-03-31,5.14,$-0.65,0.0
2015-12-31,5.62,$-0.24,0.0
2015-09-30,7.0,$-0.13,0.0
2015-06-30,4.85,$0.09,53.89
2015-03-31,5.39,$0.12,44.92
2014-12-31,5.46,$0.20,27.3
2014-09-30,5.36,$3.53,1.52
2014-06-30,6.76,$3.04,2.22
2014-03-31,9.46,$3.63,2.61
2013-12-31,5.25,$3.36,1.56
2013-09-30,4.58,$-0.41,0.0
2013-06-30,5.02,$0.21,23.9
2013-03-31,4.12,$-0.30,0.0
2012-12-31,2.73,$-0.93,0.0
2012-09-30,3.36,$-0.49,0.0
2012-06-30,1.95,$-0.51,0.0
2012-03-31,1.7,$0.53,3.21
2011-12-31,1.87,$0.33,5.67
2011-09-30,1.62,$-5.02,0.0
2011-06-30,2.61,$-5.84,0.0
2011-03-31,3.08,$-8.28,0.0
2010-12-31,7.95,$-8.52,0.0
2010-09-30,8.12,$-5.51,0.0
2010-06-30,8.1,$-5.59,0.0
2010-03-31,10.75,$-6.92,0.0
2009-12-31,12.25,$-6.47,0.0
