Armata Pharmaceuticals PE Ratio Historical Data,Armata Pharmaceuticals PE Ratio Historical Data,Armata Pharmaceuticals PE Ratio Historical Data,Armata Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.01,,0.0
2024-09-30,2.37,$-1.64,0.0
2024-06-30,2.75,$-2.35,0.0
2024-03-31,4.18,$-2.27,0.0
2023-12-31,3.24,$-1.98,0.0
2023-09-30,3.0,$-1.72,0.0
2023-06-30,1.14,$-1.10,0.0
2023-03-31,1.67,$-1.19,0.0
2022-12-31,1.24,$-1.09,0.0
2022-09-30,4.22,$-1.03,0.0
2022-06-30,3.89,$-1.01,0.0
2022-03-31,4.89,$-1.00,0.0
2021-12-31,5.48,$-0.97,0.0
2021-09-30,3.62,$-1.10,0.0
2021-06-30,3.97,$-1.19,0.0
2021-03-31,4.78,$-1.20,0.0
2020-12-31,2.98,$-1.42,0.0
2020-09-30,3.19,$-1.54,0.0
2020-06-30,3.92,$-1.96,0.0
2020-03-31,3.1,$-2.39,0.0
2019-12-31,3.25,$-3.44,0.0
2019-09-30,3.7,$-5.06,0.0
2019-06-30,4.01,$-5.73,0.0
2019-03-31,4.21,$-7.70,0.0
2018-12-31,2.89,$-9.52,0.0
2018-09-30,14.14,$-10.92,0.0
2018-06-30,15.82,$-10.78,0.0
2018-03-31,15.26,$-28.57,0.0
2017-12-31,14.14,$-52.38,0.0
2017-09-30,12.74,$-155.32,0.0
2017-06-30,10.91,$-198.88,0.0
2017-03-31,60.19,$-287.68,0.0
2016-12-31,61.6,$-375.35,0.0
2016-09-30,212.8,$-351.54,0.0
2016-06-30,217.0,$-348.74,0.0
