InMed Pharmaceuticals PE Ratio Historical Data,InMed Pharmaceuticals PE Ratio Historical Data,InMed Pharmaceuticals PE Ratio Historical Data,InMed Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.81,,0.0
2024-12-31,4.74,$-13.75,0.0
2024-09-30,0.24,$-13.91,0.0
2024-06-30,0.27,$-26.40,0.0
2024-03-31,0.36,$-22.60,0.0
2023-12-31,0.42,$-31.00,0.0
2023-09-30,0.7,$-45.40,0.0
2023-06-30,0.93,$-111.40,0.0
2023-03-31,1.08,$-369.80,0.0
2022-12-31,2.02,$-482.80,0.0
2022-09-30,6.59,$-619.60,0.0
2022-06-30,11.76,$-663.40,0.0
2022-03-31,23.57,$-610.00,0.0
2021-12-31,32.75,$-690.00,0.0
2021-09-30,43.75,$-720.00,0.0
