Microvision PE Ratio Historical Data,Microvision PE Ratio Historical Data,Microvision PE Ratio Historical Data,Microvision PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.36,,0.0
2024-09-30,1.14,$-0.41,0.0
2024-06-30,1.06,$-0.46,0.0
2024-03-31,1.84,$-0.47,0.0
2023-12-31,2.66,$-0.45,0.0
2023-09-30,2.19,$-0.43,0.0
2023-06-30,4.58,$-0.39,0.0
2023-03-31,2.67,$-0.35,0.0
2022-12-31,2.35,$-0.32,0.0
2022-09-30,3.61,$-0.32,0.0
2022-06-30,3.84,$-0.30,0.0
2022-03-31,4.67,$-0.31,0.0
2021-12-31,5.01,$-0.27,0.0
2021-09-30,11.05,$-0.21,0.0
2021-06-30,16.75,$-0.17,0.0
2021-03-31,18.55,$-0.10,0.0
2020-12-31,5.38,$-0.10,0.0
2020-09-30,1.95,$-0.11,0.0
2020-06-30,1.36,$-0.14,0.0
2020-03-31,0.17,$-0.20,0.0
2019-12-31,0.72,$-0.24,0.0
2019-09-30,0.6,$-0.34,0.0
2019-06-30,0.81,$-0.29,0.0
2019-03-31,0.97,$-0.31,0.0
2018-12-31,0.6,$-0.32,0.0
2018-09-30,1.21,$-0.29,0.0
2018-06-30,1.12,$-0.36,0.0
2018-03-31,1.13,$-0.34,0.0
2017-12-31,1.63,$-0.33,0.0
2017-09-30,2.78,$-0.32,0.0
2017-06-30,2.12,$-0.33,0.0
2017-03-31,2.49,$-0.32,0.0
2016-12-31,1.26,$-0.31,0.0
2016-09-30,1.38,$-0.31,0.0
2016-06-30,1.68,$-0.30,0.0
2016-03-31,1.87,$-0.29,0.0
2015-12-31,2.86,$-0.31,0.0
2015-09-30,3.19,$-0.30,0.0
2015-06-30,3.0,$-0.31,0.0
2015-03-31,3.43,$-0.33,0.0
2014-12-31,1.74,$-0.47,0.0
2014-09-30,1.94,$-0.47,0.0
2014-06-30,2.01,$-0.52,0.0
2014-03-31,1.93,$-0.57,0.0
2013-12-31,1.32,$-0.48,0.0
2013-09-30,1.74,$-0.56,0.0
2013-06-30,2.52,$-0.58,0.0
2013-03-31,1.59,$-0.71,0.0
2012-12-31,1.91,$-1.15,0.0
2012-09-30,2.32,$-1.61,0.0
2012-06-30,1.61,$-2.02,0.0
2012-03-31,2.73,$-2.48,0.0
2011-12-31,2.88,$-2.62,0.0
2011-09-30,5.44,$-3.28,0.0
2011-06-30,9.76,$-3.76,0.0
2011-03-31,10.56,$-4.00,0.0
2010-12-31,14.88,$-4.08,0.0
2010-09-30,17.52,$-3.68,0.0
2010-06-30,23.68,$-3.84,0.0
2010-03-31,22.56,$-4.08,0.0
2009-12-31,25.36,$-4.32,0.0
