Corsair Gaming PE Ratio Historical Data,Corsair Gaming PE Ratio Historical Data,Corsair Gaming PE Ratio Historical Data,Corsair Gaming PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.94,,0.0
2024-12-31,6.61,$-0.95,0.0
2024-09-30,6.96,$-0.90,0.0
2024-06-30,11.04,$-0.37,0.0
2024-03-31,12.34,$-0.08,0.0
2023-12-31,14.1,$0.03,470.0
2023-09-30,14.53,$0.09,161.44
2023-06-30,17.74,$0.03,591.33
2023-03-31,18.35,$-0.60,0.0
2022-12-31,13.57,$-0.64,0.0
2022-09-30,11.35,$-0.51,0.0
2022-06-30,13.13,$-0.40,0.0
2022-03-31,21.16,$0.50,42.32
2021-12-31,21.01,$1.02,20.6
2021-09-30,25.93,$1.20,21.61
2021-06-30,33.29,$1.58,21.07
