SmartFinancial PE Ratio Historical Data,SmartFinancial PE Ratio Historical Data,SmartFinancial PE Ratio Historical Data,SmartFinancial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.55,,16.26
2024-09-30,29.08,$1.94,14.99
2024-06-30,23.55,$1.52,15.49
2024-03-31,20.89,$1.56,13.39
2023-12-31,24.19,$1.69,14.32
2023-09-30,21.03,$2.09,10.06
2023-06-30,21.1,$2.65,7.96
2023-03-31,22.61,$2.74,8.25
2022-12-31,26.79,$2.55,10.51
2022-09-30,24.02,$2.18,11.02
2022-06-30,23.42,$2.11,11.1
2022-03-31,24.72,$2.08,11.89
2021-12-31,26.37,$2.24,11.77
2021-09-30,24.86,$2.43,10.23
2021-06-30,23.04,$2.24,10.28
2021-03-31,20.72,$2.07,10.01
2020-12-31,17.31,$1.61,10.75
2020-09-30,12.93,$1.50,8.62
2020-06-30,15.34,$1.50,10.22
2020-03-31,14.36,$1.74,8.26
2019-12-31,22.28,$1.89,11.79
2019-09-30,19.58,$1.88,10.42
2019-06-30,20.39,$1.80,11.33
2019-03-31,17.78,$1.47,12.09
2018-12-31,17.18,$1.43,12.01
2018-09-30,22.14,$0.96,23.06
2018-06-30,24.22,$0.82,29.53
2018-03-31,22.15,$0.70,31.64
2017-12-31,20.4,$0.59,34.58
2017-09-30,22.62,$0.81,27.93
2017-06-30,22.45,$0.83,27.05
2017-03-31,19.78,$0.78,25.36
2016-12-31,17.45,$0.78,22.37
2016-09-30,15.32,$0.75,20.43
