BLACKROCK TCP CAPITAL CORP PE Ratio Historical Data,BLACKROCK TCP CAPITAL CORP PE Ratio Historical Data,BLACKROCK TCP CAPITAL CORP PE Ratio Historical Data,BLACKROCK TCP CAPITAL CORP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.72,,0.0
2024-12-31,8.71,$-0.75,0.0
2024-09-30,8.29,$-0.50,0.0
2024-06-30,10.39,$-0.53,0.0
2024-03-31,9.73,$0.35,27.79
2023-12-31,10.42,$0.66,15.79
2023-09-30,10.1,$0.06,168.29
2023-06-30,9.05,$0.29,31.22
2023-03-31,8.3,$0.01,829.54
2022-12-31,10.1,$-0.16,0.0
2022-09-30,8.29,$1.23,6.74
2022-06-30,9.29,$0.97,9.57
2022-03-31,10.35,$1.92,5.39
2021-12-31,9.56,$2.31,4.14
2021-09-30,9.4,$2.58,3.64
2021-06-30,9.37,$3.20,2.93
2021-03-31,9.18,$3.05,3.01
2020-12-31,7.31,$1.26,5.8
2020-09-30,6.22,$0.41,15.17
2020-06-30,5.62,$-0.09,0.0
2020-03-31,3.71,$-1.07,0.0
2019-12-31,7.95,$0.52,15.29
2019-09-30,7.49,$0.52,14.4
2019-06-30,7.66,$0.47,16.31
2019-03-31,7.44,$0.72,10.34
2018-12-31,6.67,$0.77,8.67
2018-09-30,7.1,$1.02,6.96
2018-06-30,7.03,$1.01,6.96
2018-03-31,6.75,$1.29,5.23
2017-12-31,7.07,$1.20,5.89
2017-09-30,7.46,$1.41,5.29
2017-06-30,7.47,$1.55,4.82
2017-03-31,7.54,$1.63,4.63
2016-12-31,7.16,$1.50,4.77
2016-09-30,6.8,$1.10,6.18
2016-06-30,6.2,$1.07,5.79
2016-03-31,5.9,$1.07,5.52
2015-12-31,5.38,$1.21,4.44
2015-09-30,5.1,$1.01,5.05
2015-06-30,5.62,$0.94,5.98
2015-03-31,5.75,$0.84,6.85
2014-12-31,5.89,$0.96,6.14
2014-09-30,5.51,$1.56,3.53
2014-06-30,6.11,$1.75,3.49
2014-03-31,5.42,$1.82,2.98
2013-12-31,5.38,$1.92,2.8
2013-09-30,5.08,$1.80,2.82
2013-06-30,5.13,$1.76,2.91
2013-03-31,4.77,$1.64,2.91
