Maxeon Solar Technologies PE Ratio Historical Data,Maxeon Solar Technologies PE Ratio Historical Data,Maxeon Solar Technologies PE Ratio Historical Data,Maxeon Solar Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.97,,0.0
2024-09-30,0.1,$-553.47,0.0
2024-06-30,0.85,$-774.00,0.0
2024-03-31,3.33,$-780.00,0.0
2023-12-31,7.17,$-575.00,0.0
2023-09-30,11.59,$-362.00,0.0
2023-06-30,28.16,$-250.00,0.0
2023-03-31,26.54,$-462.00,0.0
2022-12-31,16.06,$-653.00,0.0
2022-09-30,23.77,$-650.00,0.0
2022-06-30,13.29,$-703.00,0.0
2022-03-31,14.48,$-687.00,0.0
2021-12-31,13.9,$-656.00,0.0
2021-09-30,17.63,$-464.00,0.0
2021-06-30,21.43,$-576.00,0.0
