International Game Technology PE Ratio Historical Data,International Game Technology PE Ratio Historical Data,International Game Technology PE Ratio Historical Data,International Game Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.13,,10.02
2024-12-31,17.66,$1.71,10.33
2024-09-30,21.08,$0.60,35.13
2024-06-30,20.06,$1.02,19.67
2024-03-31,22.15,$1.05,21.1
2023-12-31,26.63,$0.76,35.04
2023-09-30,29.24,$0.48,60.91
2023-06-30,30.56,$1.32,23.15
2023-03-31,25.48,$1.07,23.81
2022-12-31,21.37,$1.35,15.83
2022-09-30,14.77,$1.76,8.39
2022-06-30,17.19,$0.77,22.32
2022-03-31,22.64,$2.28,9.93
2021-12-31,26.27,$2.33,11.27
2021-09-30,23.75,$1.06,22.4
2021-06-30,21.62,$0.13,166.28
2021-03-31,14.48,$-2.73,0.0
2020-12-31,15.28,$-4.38,0.0
2020-09-30,10.04,$-4.02,0.0
2020-06-30,8.03,$-2.89,0.0
2020-03-31,5.37,$-1.50,0.0
2019-12-31,13.02,$-0.09,0.0
2019-09-30,12.19,$0.23,53.01
2019-06-30,10.94,$-0.17,0.0
2019-03-31,10.79,$0.60,17.99
2018-12-31,11.97,$-0.11,0.0
2018-09-30,15.95,$0.78,20.45
2018-06-30,18.59,$-3.28,0.0
2018-03-31,21.21,$-5.50,0.0
2017-12-31,20.89,$-5.26,0.0
2017-09-30,19.21,$-4.50,0.0
2017-06-30,14.18,$-0.56,0.0
2017-03-31,18.16,$1.23,14.76
2016-12-31,19.39,$1.04,18.65
2016-09-30,18.38,$0.26,70.68
2016-06-30,13.99,$0.31,45.14
2016-03-31,13.49,$-0.64,0.0
2015-12-31,11.83,$-0.36,0.0
2015-09-30,11.06,$-1.60,0.0
2015-06-30,12.66,$-1.20,0.0
2015-03-31,12.41,$-0.29,0.0
2014-12-31,12.3,$0.48,25.62
2014-09-30,12.02,$1.35,8.91
