Caribou Biosciences PE Ratio Historical Data,Caribou Biosciences PE Ratio Historical Data,Caribou Biosciences PE Ratio Historical Data,Caribou Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.0,,0.0
2024-12-31,1.59,$-1.26,0.0
2024-09-30,1.96,$-1.65,0.0
2024-06-30,1.64,$-1.39,0.0
2024-03-31,5.14,$-1.45,0.0
2023-12-31,5.73,$-1.45,0.0
2023-09-30,4.78,$-1.50,0.0
2023-06-30,4.25,$-1.82,0.0
2023-03-31,5.31,$-1.78,0.0
2022-12-31,6.28,$-1.64,0.0
2022-09-30,10.55,$-1.51,0.0
2022-06-30,5.43,$-1.53,0.0
