Cognex PE Ratio Historical Data,Cognex PE Ratio Historical Data,Cognex PE Ratio Historical Data,Cognex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,31.15,,51.07
2024-12-31,35.86,$0.61,58.79
2024-09-30,40.42,$0.52,77.73
2024-06-30,46.58,$0.46,101.26
2024-03-31,42.19,$0.58,72.74
2023-12-31,41.43,$0.66,62.77
2023-09-30,42.04,$0.91,46.2
2023-06-30,55.41,$0.99,55.97
2023-03-31,48.94,$1.00,48.94
2022-12-31,46.47,$1.23,37.78
2022-09-30,40.82,$1.21,33.74
2022-06-30,41.82,$1.46,28.64
2022-03-31,75.78,$1.55,48.89
2021-12-31,76.3,$1.56,48.91
2021-09-30,78.65,$1.65,47.67
2021-06-30,82.35,$1.70,48.44
2021-03-31,81.25,$1.26,64.48
2020-12-31,78.54,$0.99,79.33
2020-09-30,62.01,$1.06,58.5
2020-06-30,56.84,$0.81,70.17
2020-03-31,40.15,$1.10,36.5
2019-12-31,53.22,$1.17,45.49
2019-09-30,46.61,$0.97,48.05
2019-06-30,45.46,$1.18,38.53
2019-03-31,48.14,$1.22,39.46
2018-12-31,36.57,$1.24,29.49
2018-09-30,52.72,$0.82,64.3
2018-06-30,42.1,$0.94,44.79
2018-03-31,49.02,$0.94,52.42
2017-12-31,57.61,$0.98,58.79
2017-09-30,51.93,$1.36,38.32
2017-06-30,39.94,$1.09,36.64
2017-03-31,39.46,$1.02,38.68
2016-12-31,29.87,$0.85,35.15
2016-09-30,24.79,$0.75,33.28
2016-06-30,20.18,$1.04,19.5
2016-03-31,18.21,$1.04,17.59
2015-12-31,15.76,$1.07,14.8
2015-09-30,16.01,$1.11,14.49
2015-06-30,22.36,$0.80,28.12
2015-03-31,23.02,$0.70,33.12
2014-12-31,19.18,$0.69,28.01
2014-09-30,18.69,$0.65,28.76
2014-06-30,17.82,$0.48,37.13
2014-03-31,15.72,$0.43,36.55
2013-12-31,17.72,$0.42,42.7
2013-09-30,14.52,$0.40,36.77
2013-06-30,10.49,$0.38,27.44
2013-03-31,9.78,$0.40,24.46
2012-12-31,8.54,$0.39,21.75
2012-09-30,7.77,$0.41,19.06
2012-06-30,7.09,$0.41,17.28
2012-03-31,9.45,$0.41,23.06
2011-12-31,7.97,$0.41,19.56
2011-09-30,6.02,$0.42,14.5
2011-06-30,7.85,$0.42,18.57
2011-03-31,6.24,$0.41,15.41
2010-12-31,6.48,$0.38,17.05
2010-09-30,5.89,$0.27,22.22
2010-06-30,3.85,$0.18,21.38
2010-03-31,4.04,$0.05,89.67
2009-12-31,3.86,$-0.03,0.0
