Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,111.8,,26.68
2024-12-31,123.93,$4.19,29.58
2024-09-30,108.92,$3.42,31.85
2024-06-30,109.15,$2.98,36.63
2024-03-31,111.86,$18.69,5.98
2023-12-31,95.51,$19.20,4.97
2023-09-30,94.2,$22.92,4.11
2023-06-30,87.7,$22.87,3.83
2023-03-31,84.01,$8.13,10.33
2022-12-31,92.05,$7.88,11.68
2022-09-30,69.76,$5.41,12.9
2022-06-30,75.34,$5.28,14.27
2022-03-31,92.3,$4.78,19.31
2021-12-31,87.05,$4.58,19.01
2021-09-30,87.74,$3.82,22.97
2021-06-30,89.21,$3.91,22.82
2021-03-31,83.18,$3.54,23.5
2020-12-31,73.67,$3.45,21.35
2020-09-30,59.69,$3.24,18.42
2020-06-30,56.07,$3.20,17.52
2020-03-31,42.67,$3.50,12.19
2019-12-31,67.83,$3.50,19.38
2019-09-30,59.06,$3.71,15.92
2019-06-30,58.43,$3.52,16.6
2019-03-31,59.52,$3.67,16.22
2018-12-31,51.56,$3.59,14.36
2018-09-30,65.62,$3.46,18.96
2018-06-30,58.86,$3.27,18.0
2018-03-31,57.75,$2.79,20.7
2017-12-31,58.53,$2.48,23.6
2017-09-30,52.35,$2.35,22.28
2017-06-30,49.27,$2.25,21.9
2017-03-31,49.07,$2.35,20.88
2016-12-31,45.36,$2.47,18.36
2016-09-30,43.94,$2.52,17.44
2016-06-30,41.67,$2.82,14.78
2016-03-31,43.06,$2.92,14.75
2015-12-31,37.49,$3.77,9.94
2015-09-30,34.28,$3.99,8.59
2015-06-30,42.61,$3.59,11.87
2015-03-31,43.18,$3.78,11.42
2014-12-31,46.7,$3.13,14.92
2014-09-30,47.0,$3.03,15.51
2014-06-30,49.5,$3.55,13.94
2014-03-31,49.51,$2.79,17.75
2013-12-31,51.68,$2.79,18.52
2013-09-30,47.34,$2.76,17.15
2013-06-30,39.64,$2.05,19.34
2013-03-31,40.33,$2.82,14.3
2012-12-31,37.96,$2.79,13.6
2012-09-30,34.31,$2.67,12.85
2012-06-30,32.85,$3.29,9.98
2012-03-31,36.5,$3.15,11.59
2011-12-31,32.33,$3.14,10.3
2011-09-30,28.45,$3.27,8.7
2011-06-30,38.42,$3.24,11.86
2011-03-31,39.66,$3.11,12.75
2010-12-31,38.59,$2.91,13.26
2010-09-30,35.33,$2.84,12.44
2010-06-30,29.11,$2.53,11.5
2010-03-31,33.31,$2.27,14.68
2009-12-31,27.99,$2.23,12.55
