Broadwind Energy PE Ratio Historical Data,Broadwind Energy PE Ratio Historical Data,Broadwind Energy PE Ratio Historical Data,Broadwind Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.43,,28.6
2024-12-31,1.88,$0.05,37.6
2024-09-30,2.27,$0.14,16.21
2024-06-30,3.28,$0.34,9.65
2024-03-31,2.38,$0.39,6.1
2023-12-31,2.77,$0.36,7.69
2023-09-30,3.2,$0.17,18.82
2023-06-30,3.82,$-0.12,0.0
2023-03-31,3.84,$-0.32,0.0
2022-12-31,1.79,$-0.48,0.0
2022-09-30,3.02,$-0.55,0.0
2022-06-30,1.64,$-0.57,0.0
2022-03-31,2.17,$0.09,24.11
2021-12-31,1.88,$0.14,13.43
2021-09-30,2.59,$0.23,11.26
2021-06-30,4.53,$0.28,16.18
2021-03-31,6.6,$-0.22,0.0
2020-12-31,7.93,$-0.09,0.0
2020-09-30,2.87,$-0.06,0.0
2020-06-30,3.75,$-0.06,0.0
2020-03-31,1.4,$-0.15,0.0
2019-12-31,1.66,$-0.28,0.0
2019-09-30,1.69,$-0.98,0.0
2019-06-30,2.22,$-0.97,0.0
2019-03-31,1.68,$-1.31,0.0
2018-12-31,1.3,$-1.56,0.0
2018-09-30,2.18,$-1.23,0.0
2018-06-30,2.36,$-1.33,0.0
2018-03-31,2.2,$-0.98,0.0
2017-12-31,2.72,$-0.24,0.0
2017-09-30,3.24,$0.24,13.5
2017-06-30,5.04,$0.45,11.2
2017-03-31,8.33,$0.47,17.72
2016-12-31,4.05,$0.02,202.25
2016-09-30,4.4,$-0.73,0.0
2016-06-30,4.22,$-1.31,0.0
2016-03-31,3.01,$-1.17,0.0
2015-12-31,2.08,$-1.48,0.0
2015-09-30,2.07,$-1.10,0.0
2015-06-30,4.24,$-0.70,0.0
2015-03-31,5.0,$-0.69,0.0
2014-12-31,5.39,$-0.42,0.0
2014-09-30,7.49,$-0.33,0.0
2014-06-30,8.77,$-0.38,0.0
2014-03-31,12.22,$-0.51,0.0
2013-12-31,9.44,$-0.79,0.0
2013-09-30,7.85,$-0.94,0.0
2013-06-30,4.78,$-1.05,0.0
2013-03-31,4.37,$-1.34,0.0
2012-12-31,2.16,$-1.29,0.0
2012-09-30,2.16,$-1.28,0.0
2012-06-30,2.7,$-1.60,0.0
2012-03-31,4.7,$-1.70,0.0
2011-12-31,6.8,$-1.90,0.0
2011-09-30,3.2,$-6.00,0.0
2011-06-30,14.5,$-6.20,0.0
2011-03-31,13.1,$-7.10,0.0
2010-12-31,23.1,$-8.00,0.0
2010-09-30,18.7,$-13.10,0.0
2010-06-30,28.0,$-12.80,0.0
2010-03-31,44.7,$-12.10,0.0
2009-12-31,80.9,$-11.40,0.0
