Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data,Goldman Sachs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,562.68,,13.88
2024-12-31,572.62,$40.55,14.12
2024-09-30,492.65,$34.08,14.46
2024-06-30,447.45,$31.15,14.36
2024-03-31,413.19,$25.61,16.13
2023-12-31,378.96,$22.82,16.61
2023-09-30,315.31,$20.66,15.26
2023-06-30,311.7,$23.44,13.3
2023-03-31,313.69,$28.09,11.17
2022-12-31,326.94,$30.06,10.88
2022-09-30,277.22,$37.55,7.38
2022-06-30,278.88,$44.23,6.31
2022-03-31,308.06,$51.52,5.98
2021-12-31,354.84,$59.36,5.98
2021-09-30,348.8,$60.63,5.75
2021-06-30,348.49,$55.38,6.29
2021-03-31,299.25,$46.62,6.42
2020-12-31,240.42,$31.13,7.72
2020-09-30,182.24,$23.74,7.68
2020-06-30,178.12,$18.85,9.45
2020-03-31,138.45,$18.40,7.52
2019-12-31,204.65,$21.00,9.75
2019-09-30,183.41,$22.35,8.21
2019-06-30,179.98,$23.84,7.55
2019-03-31,168.13,$24.01,7.0
2018-12-31,145.7,$25.25,5.77
2018-09-30,195.58,$13.70,14.28
2018-06-30,191.74,$12.44,15.41
2018-03-31,218.18,$10.41,20.96
2017-12-31,220.07,$8.61,25.56
2017-09-30,204.26,$19.20,10.64
2017-06-30,190.44,$19.06,9.99
2017-03-31,196.48,$18.83,10.43
2016-12-31,204.26,$16.36,12.49
2016-09-30,137.15,$12.55,10.93
2016-06-30,125.87,$10.57,11.91
2016-03-31,132.45,$8.83,15.0
2015-12-31,151.41,$12.09,12.52
2015-09-30,145.48,$15.20,9.57
2015-06-30,174.2,$16.87,10.33
2015-03-31,156.34,$18.99,8.23
2014-12-31,160.72,$17.07,9.42
2014-09-30,151.73,$17.29,8.78
2014-06-30,137.97,$15.60,8.84
2014-03-31,134.55,$15.20,8.85
2013-12-31,145.07,$15.47,9.38
2013-09-30,129.06,$16.47,7.84
2013-06-30,122.98,$16.44,7.48
2013-03-31,119.27,$14.52,8.21
2012-12-31,103.05,$14.15,7.28
2012-09-30,91.45,$10.39,8.8
2012-06-30,76.78,$6.70,11.46
2012-03-31,99.15,$6.77,14.65
2011-12-31,71.88,$4.41,16.3
2011-09-30,74.86,$6.36,11.77
2011-06-30,105.05,$10.18,10.32
2011-03-31,124.87,$9.11,13.71
2010-12-31,132.12,$13.14,10.05
2010-09-30,113.34,$17.55,6.46
2010-06-30,102.64,$19.82,5.18
2010-03-31,133.09,$23.97,5.55
2009-12-31,131.4,$21.77,6.04
