Smith Micro Software PE Ratio Historical Data,Smith Micro Software PE Ratio Historical Data,Smith Micro Software PE Ratio Historical Data,Smith Micro Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-12-31,1.31,$-4.48,0.0
2024-09-30,1.02,$-5.20,0.0
2024-06-30,2.21,$-5.30,0.0
2024-03-31,2.75,$-5.36,0.0
2023-12-31,6.61,$-2.96,0.0
2023-09-30,9.68,$-3.36,0.0
2023-06-30,8.88,$-3.76,0.0
2023-03-31,9.28,$-4.24,0.0
2022-12-31,16.8,$-4.40,0.0
2022-09-30,18.08,$-3.84,0.0
2022-06-30,19.76,$-5.52,0.0
2022-03-31,30.16,$-5.12,0.0
2021-12-31,39.36,$-4.64,0.0
2021-09-30,38.72,$-4.00,0.0
2021-06-30,41.76,$-1.28,0.0
2021-03-31,44.04,$-0.24,0.0
2020-12-31,43.36,$0.72,60.22
2020-09-30,29.84,$1.36,21.94
2020-06-30,35.68,$2.08,17.15
2020-03-31,33.68,$2.64,12.76
2019-12-31,31.84,$2.24,14.21
2019-09-30,43.48,$2.32,18.74
2019-06-30,24.32,$1.28,19.0
2019-03-31,22.4,$-0.40,0.0
2018-12-31,14.4,$-1.68,0.0
2018-09-30,20.16,$-2.56,0.0
2018-06-30,18.32,$-3.20,0.0
2018-03-31,14.0,$-3.92,0.0
2017-12-31,22.72,$-4.08,0.0
2017-09-30,8.96,$-6.08,0.0
2017-06-30,11.68,$-7.92,0.0
2017-03-31,7.44,$-8.56,0.0
2016-12-31,12.56,$-9.68,0.0
2016-09-30,16.24,$-7.92,0.0
2016-06-30,18.93,$-5.76,0.0
2016-03-31,18.88,$-4.48,0.0
2015-12-31,23.33,$-1.92,0.0
2015-09-30,27.84,$-1.60,0.0
2015-06-30,36.8,$-1.92,0.0
2015-03-31,40.96,$-5.76,0.0
2014-12-31,31.04,$-10.24,0.0
2014-09-30,28.5,$-11.52,0.0
2014-06-30,33.28,$-21.76,0.0
2014-03-31,63.68,$-23.04,0.0
2013-12-31,47.36,$-24.00,0.0
2013-09-30,28.8,$-26.56,0.0
2013-06-30,33.92,$-19.52,0.0
2013-03-31,42.24,$-19.52,0.0
2012-12-31,48.0,$-22.72,0.0
2012-09-30,51.52,$-27.52,0.0
2012-06-30,58.88,$-143.68,0.0
2012-03-31,74.56,$-144.64,0.0
2011-12-31,36.16,$-143.04,0.0
2011-09-30,48.64,$-129.28,0.0
2011-06-30,134.72,$-6.08,0.0
2011-03-31,299.52,$2.56,117.0
2010-12-31,503.68,$11.20,44.97
2010-09-30,318.08,$7.36,43.22
2010-06-30,304.32,$6.40,47.55
2010-03-31,282.88,$6.08,46.53
2009-12-31,292.8,$4.80,61.0
