Black Hills PE Ratio Historical Data,Black Hills PE Ratio Historical Data,Black Hills PE Ratio Historical Data,Black Hills PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.4,,15.41
2024-12-31,58.52,$3.92,14.93
2024-09-30,60.5,$3.72,16.26
2024-06-30,53.22,$4.04,13.17
2024-03-31,52.83,$4.06,13.01
2023-12-31,51.57,$3.92,13.15
2023-09-30,47.77,$3.86,12.38
2023-06-30,56.27,$3.73,15.08
2023-03-31,58.34,$3.90,14.96
2022-12-31,64.41,$3.99,16.14
2022-09-30,61.44,$3.99,15.4
2022-06-30,65.52,$4.15,15.79
2022-03-31,68.81,$4.03,17.07
2021-12-31,62.49,$3.75,16.66
2021-09-30,55.06,$3.87,14.23
2021-06-30,57.13,$3.75,15.24
2021-03-31,57.63,$3.68,15.66
2020-12-31,52.56,$3.65,14.4
2020-09-30,45.36,$3.55,12.78
2020-06-30,47.61,$3.16,15.07
2020-03-31,53.29,$3.07,17.36
2019-12-31,64.96,$3.29,19.74
2019-09-30,63.01,$3.65,17.26
2019-06-30,63.78,$3.77,16.92
2019-03-31,60.03,$3.93,15.28
2018-12-31,50.52,$4.66,10.84
2018-09-30,46.37,$4.22,10.99
2018-06-30,48.49,$4.41,10.99
2018-03-31,42.65,$4.41,9.67
2017-12-31,46.79,$3.34,14.01
2017-09-30,53.18,$2.62,20.3
2017-06-30,51.77,$2.38,21.75
2017-03-31,50.67,$1.99,25.46
2016-12-31,46.43,$1.37,33.89
2016-09-30,46.01,$0.74,62.17
2016-06-30,47.03,$0.26,180.9
2016-03-31,44.55,$-0.69,0.0
2015-12-31,34.12,$-0.39,0.0
2015-09-30,30.11,$0.67,44.93
2015-06-30,31.49,$1.49,21.13
2015-03-31,36.07,$2.87,12.57
2014-12-31,37.62,$2.88,13.06
2014-09-30,33.72,$2.53,13.33
2014-06-30,42.91,$2.45,17.52
2014-03-31,40.02,$2.70,14.82
2013-12-31,36.19,$2.59,13.97
2013-09-30,34.11,$2.88,11.84
2013-06-30,33.11,$3.14,10.54
2013-03-31,29.68,$2.14,13.87
2012-12-31,24.27,$1.85,13.12
2012-09-30,23.5,$1.75,13.43
2012-06-30,21.01,$0.70,30.01
2012-03-31,21.64,$1.20,18.04
2011-12-31,21.45,$1.20,17.87
2011-09-30,19.35,$1.45,13.35
2011-06-30,18.77,$2.04,9.2
2011-03-31,20.62,$1.63,12.65
2010-12-31,18.28,$1.76,10.39
2010-09-30,18.78,$1.76,10.67
2010-06-30,16.94,$1.38,12.28
2010-03-31,17.85,$2.24,7.97
2009-12-31,15.45,$2.11,7.32
