Evolv Technologies Holdings PE Ratio Historical Data,Evolv Technologies Holdings PE Ratio Historical Data,Evolv Technologies Holdings PE Ratio Historical Data,Evolv Technologies Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.11,,0.0
2024-06-30,2.55,$-0.14,0.0
2024-03-31,4.45,$-0.61,0.0
2023-12-31,4.72,$-0.73,0.0
2023-09-30,4.86,$-0.81,0.0
2023-06-30,6.0,$-0.97,0.0
2023-03-31,3.12,$-0.70,0.0
2022-12-31,2.59,$-0.60,0.0
2022-09-30,2.12,$-0.39,0.0
2022-06-30,2.66,$-0.11,0.0
2022-03-31,2.65,$-0.64,0.0
2021-12-31,4.46,$-0.54,0.0
2021-09-30,5.97,$-0.56,0.0
2021-06-30,10.03,$-0.71,0.0
