LexinFintech Holdings PE Ratio Historical Data,LexinFintech Holdings PE Ratio Historical Data,LexinFintech Holdings PE Ratio Historical Data,LexinFintech Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.52,,16.7
2024-09-30,2.72,$0.63,4.32
2024-06-30,1.58,$0.67,2.36
2024-03-31,1.66,$0.76,2.18
2023-12-31,1.69,$0.86,1.97
2023-09-30,2.03,$1.09,1.87
2023-06-30,2.01,$1.00,2.01
2023-03-31,2.37,$0.85,2.79
2022-12-31,1.67,$0.65,2.56
2022-09-30,1.48,$0.61,2.43
2022-06-30,1.95,$0.84,2.33
2022-03-31,2.3,$1.30,1.77
2021-12-31,3.38,$1.76,1.92
2021-09-30,5.16,$1.95,2.65
2021-06-30,10.74,$1.77,6.07
2021-03-31,8.82,$1.48,5.96
2020-12-31,5.87,$0.42,13.98
2020-09-30,6.0,$0.40,15.01
2020-06-30,9.32,$0.69,13.51
2020-03-31,7.77,$0.89,8.73
2019-12-31,12.17,$1.90,6.41
2019-09-30,8.79,$2.09,4.21
2019-06-30,9.78,$1.79,5.46
2019-03-31,9.2,$1.68,5.48
2018-12-31,6.35,$1.33,4.78
2018-09-30,8.7,$0.81,10.74
