SouthState PE Ratio Historical Data,SouthState PE Ratio Historical Data,SouthState PE Ratio Historical Data,SouthState PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,92.81,,13.33
2024-12-31,99.48,$6.96,14.29
2024-09-30,96.7,$6.48,14.92
2024-06-30,75.58,$6.24,12.11
2024-03-31,83.55,$6.13,13.63
2023-12-31,82.45,$6.46,12.76
2023-09-30,65.27,$6.95,9.39
2023-06-30,63.32,$7.08,8.94
2023-03-31,68.02,$7.03,9.68
2022-12-31,72.43,$6.59,10.99
2022-09-30,74.62,$6.23,11.98
2022-06-30,72.33,$6.22,11.63
2022-03-31,75.99,$6.04,12.58
2021-12-31,74.2,$6.71,11.06
2021-09-30,68.76,$6.40,10.74
2021-06-30,74.78,$6.00,12.46
2021-03-31,71.43,$2.65,26.95
2020-12-31,65.39,$1.30,50.3
2020-09-30,43.24,$1.54,28.08
2020-06-30,42.47,$1.70,24.98
2020-03-31,51.86,$4.83,10.74
2019-12-31,76.15,$5.37,14.18
2019-09-30,65.73,$5.27,12.47
2019-06-30,63.95,$5.05,12.66
2019-03-31,59.0,$4.97,11.87
2018-12-31,51.46,$4.87,10.57
2018-09-30,70.03,$3.60,19.45
2018-06-30,73.35,$3.51,20.9
2018-03-31,72.27,$3.50,20.65
2017-12-31,73.54,$2.98,24.68
2017-09-30,75.7,$3.90,19.41
2017-06-30,71.76,$3.87,18.54
2017-03-31,74.53,$3.80,19.61
2016-12-31,72.64,$4.18,17.38
2016-09-30,62.09,$4.23,14.68
2016-06-30,56.06,$4.11,13.64
2016-03-31,52.69,$4.13,12.76
2015-12-31,58.75,$4.11,14.29
2015-09-30,62.57,$3.94,15.88
2015-06-30,61.65,$3.70,16.66
2015-03-31,55.3,$3.41,16.22
2014-12-31,54.05,$3.08,17.55
2014-09-30,44.9,$2.75,16.33
2014-06-30,48.8,$2.47,19.76
2014-03-31,49.92,$2.47,20.21
2013-12-31,52.85,$2.44,21.66
2013-09-30,43.7,$2.27,19.25
2013-06-30,39.78,$2.35,16.93
2013-03-31,39.65,$2.16,18.35
2012-12-31,31.47,$2.03,15.5
2012-09-30,31.4,$2.00,15.7
2012-06-30,27.36,$2.14,12.78
2012-03-31,25.25,$1.94,13.02
2011-12-31,22.28,$1.63,13.67
2011-09-30,18.84,$1.32,14.27
2011-06-30,21.77,$0.72,30.23
2011-03-31,25.11,$0.42,59.8
2010-12-31,24.58,$4.09,6.01
2010-09-30,23.28,$4.17,5.58
2010-06-30,26.14,$4.20,6.22
2010-03-31,27.38,$4.28,6.4
2009-12-31,20.37,$0.75,27.16
