Foresight Autonomous Holdings American Depositary Shares PE Ratio Historical Data,Foresight Autonomous Holdings American Depositary Shares PE Ratio Historical Data,Foresight Autonomous Holdings American Depositary Shares PE Ratio Historical Data,Foresight Autonomous Holdings American Depositary Shares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.68,,0.0
2024-09-30,0.71,$-1.02,0.0
2024-06-30,0.96,$-1.02,0.0
2024-03-31,1.07,$-1.32,0.0
2023-12-31,1.03,$-1.23,0.0
2023-09-30,2.05,$-1.26,0.0
2023-06-30,2.17,$-0.96,0.0
2023-03-31,2.46,$-1.26,0.0
2022-12-31,2.54,$-1.44,0.0
2022-09-30,3.15,$-1.08,0.0
2022-06-30,3.72,$-1.08,0.0
2022-03-31,6.66,$-0.48,0.0
2021-12-31,10.2,$-0.72,0.0
2021-09-30,18.78,$-0.72,0.0
2021-06-30,25.5,$-1.32,0.0
2021-03-31,37.5,$-1.62,0.0
2020-12-31,24.48,$-1.98,0.0
2020-09-30,5.51,$-2.88,0.0
2020-06-30,9.54,$-3.18,0.0
2020-03-31,3.65,$-3.48,0.0
2019-12-31,6.24,$-3.48,0.0
2019-09-30,8.28,$-4.74,0.0
2019-06-30,10.56,$-4.74,0.0
2019-03-31,8.1,$-5.04,0.0
2018-12-31,9.95,$-3.66,0.0
2018-09-30,17.94,$-1.14,0.0
2018-06-30,21.79,$-0.24,0.0
2018-03-31,21.42,$0.96,22.32
