Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.7,,31.55
2024-12-31,38.08,$1.29,29.52
2024-09-30,49.76,$1.37,36.32
2024-06-30,48.3,$1.32,36.59
2024-03-31,46.59,$1.13,41.23
2023-12-31,42.03,$1.27,33.09
2023-09-30,36.66,$1.48,24.77
2023-06-30,39.19,$1.45,27.03
2023-03-31,39.94,$1.79,22.31
2022-12-31,36.98,$2.37,15.6
2022-09-30,26.46,$2.63,10.06
2022-06-30,28.16,$3.29,8.56
2022-03-31,47.72,$3.45,13.83
2021-12-31,39.9,$2.89,13.81
2021-09-30,31.04,$2.63,11.8
2021-06-30,35.34,$1.91,18.5
2021-03-31,31.29,$1.21,25.86
2020-12-31,24.73,$0.39,63.4
2020-09-30,14.86,$-0.09,0.0
2020-06-30,10.99,$-0.40,0.0
2020-03-31,6.41,$-0.48,0.0
2019-12-31,12.42,$-0.12,0.0
2019-09-30,9.01,$-0.03,0.0
2019-06-30,10.88,$0.44,24.74
2019-03-31,12.04,$1.08,11.15
2018-12-31,9.59,$1.53,6.27
2018-09-30,12.9,$2.15,6.0
2018-06-30,15.94,$1.96,8.13
2018-03-31,16.18,$1.55,10.44
2017-12-31,17.46,$1.24,14.08
2017-09-30,12.93,$0.74,17.48
2017-06-30,11.06,$0.71,15.58
2017-03-31,12.31,$0.15,82.04
2016-12-31,12.15,$-3.36,0.0
2016-09-30,10.0,$-7.04,0.0
2016-06-30,10.26,$-10.78,0.0
2016-03-31,9.52,$-12.18,0.0
2015-12-31,6.24,$-11.21,0.0
2015-09-30,8.89,$-10.49,0.0
2015-06-30,16.92,$-6.38,0.0
2015-03-31,17.18,$-4.14,0.0
2014-12-31,20.86,$-1.27,0.0
2014-09-30,28.87,$2.16,13.36
2014-06-30,32.01,$2.42,13.23
2014-03-31,28.73,$2.45,11.73
2013-12-31,32.5,$2.64,12.31
2013-09-30,28.22,$2.74,10.3
2013-06-30,23.3,$2.81,8.29
2013-03-31,26.77,$3.06,8.75
2012-12-31,27.41,$3.18,8.62
2012-09-30,31.48,$3.07,10.25
2012-06-30,26.84,$3.31,8.11
2012-03-31,29.71,$4.00,7.43
2011-12-31,28.56,$4.77,5.99
2011-09-30,23.47,$5.73,4.1
2011-06-30,40.6,$5.87,6.92
2011-03-31,41.99,$5.14,8.17
2010-12-31,45.2,$4.57,9.89
2010-09-30,31.76,$4.02,7.9
2010-06-30,21.89,$3.81,5.75
2010-03-31,30.87,$3.80,8.12
2009-12-31,29.62,$2.86,10.38
