Phunware PE Ratio Historical Data,Phunware PE Ratio Historical Data,Phunware PE Ratio Historical Data,Phunware PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.89,,0.0
2024-09-30,3.42,$-0.90,0.0
2024-06-30,5.49,$-8.65,0.0
2024-03-31,8.96,$-11.33,0.0
2023-12-31,4.1,$-13.00,0.0
2023-09-30,8.95,$-18.50,0.0
2023-06-30,27.0,$-14.50,0.0
2023-03-31,35.5,$-20.00,0.0
2022-12-31,38.67,$-25.50,0.0
2022-09-30,59.0,$-40.00,0.0
2022-06-30,54.0,$-36.00,0.0
2022-03-31,139.0,$-33.50,0.0
2021-12-31,131.5,$-35.50,0.0
2021-09-30,46.44,$-21.50,0.0
2021-06-30,69.5,$-31.00,0.0
2021-03-31,82.5,$-29.00,0.0
2020-12-31,63.0,$-24.50,0.0
2020-09-30,45.75,$-23.50,0.0
2020-06-30,61.5,$-17.00,0.0
2020-03-31,33.75,$-17.00,0.0
2019-12-31,59.5,$-18.00,0.0
2019-09-30,72.0,$-13.00,0.0
2019-06-30,155.5,$-10.00,0.0
2019-03-31,684.5,$-13.00,0.0
2018-12-31,713.0,$-7.00,0.0
2018-11-30,502.5,$-7.00,0.0
2018-09-30,525.0,$-7.00,0.0
2018-08-31,522.5,$-6.50,0.0
2018-06-30,519.0,$-6.50,0.0
2018-05-31,519.16,$-6.50,0.0
2018-03-31,517.5,$-6.50,0.0
2018-02-28,512.5,0,0.0
2017-11-30,507.5,0,0.0
2017-08-31,514.0,0,0.0
2017-05-31,501.5,0,0.0
