Woodward PE Ratio Historical Data,Woodward PE Ratio Historical Data,Woodward PE Ratio Historical Data,Woodward PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,186.59,,31.25
2024-12-31,166.42,$5.97,27.88
2024-09-30,171.26,$6.01,28.5
2024-06-30,173.85,$5.98,29.07
2024-03-31,153.45,$5.72,26.83
2023-12-31,135.29,$4.74,28.54
2023-09-30,123.28,$3.77,32.7
2023-06-30,117.77,$3.32,35.47
2023-03-31,96.25,$2.59,37.16
2022-12-31,95.29,$2.75,34.65
2022-09-30,79.01,$2.73,28.94
2022-06-30,90.88,$2.61,34.82
2022-03-31,122.5,$2.71,45.2
2021-12-31,107.18,$3.01,35.61
2021-09-30,110.69,$3.18,34.81
2021-06-30,119.99,$3.31,36.25
2021-03-31,117.64,$3.18,36.99
2020-12-31,118.35,$3.55,33.34
2020-09-30,78.0,$3.74,20.86
2020-06-30,75.39,$3.88,19.43
2020-03-31,57.7,$4.29,13.45
2019-12-31,114.69,$4.08,28.11
2019-09-30,104.27,$4.02,25.94
2019-06-30,109.26,$4.15,26.33
2019-03-31,91.48,$3.90,23.46
2018-12-31,71.5,$3.30,21.67
2018-09-30,77.69,$2.82,27.55
2018-06-30,73.71,$2.64,27.92
2018-03-31,68.6,$2.72,25.22
2017-12-31,73.13,$2.72,26.88
2017-09-30,74.03,$3.16,23.43
2017-06-30,64.35,$3.17,20.3
2017-03-31,64.55,$3.13,20.62
2016-12-31,65.51,$3.18,20.6
2016-09-30,59.17,$2.85,20.76
2016-06-30,54.49,$2.63,20.72
2016-03-31,49.07,$2.48,19.79
2015-12-31,46.74,$2.49,18.77
2015-09-30,38.22,$2.75,13.9
2015-06-30,51.54,$2.75,18.74
2015-03-31,47.71,$2.78,17.16
2014-12-31,45.95,$2.78,16.53
2014-09-30,44.38,$2.46,18.04
2014-06-30,46.69,$2.45,19.06
2014-03-31,38.57,$2.10,18.37
2013-12-31,42.28,$2.05,20.63
2013-09-30,37.78,$2.10,17.99
2013-06-30,36.94,$2.00,18.47
2013-03-31,36.64,$2.06,17.78
2012-12-31,35.06,$2.00,17.53
2012-09-30,31.17,$2.01,15.51
2012-06-30,36.1,$1.95,18.51
2012-03-31,39.12,$2.06,18.99
2011-12-31,37.32,$1.97,18.94
2011-09-30,24.94,$1.89,13.2
2011-06-30,31.66,$1.76,17.99
2011-03-31,31.32,$1.70,18.43
2010-12-31,33.97,$1.58,21.5
2010-09-30,29.27,$1.58,18.53
2010-06-30,23.0,$1.45,15.86
2010-03-31,28.76,$1.36,21.15
2009-12-31,23.12,$1.29,17.92
