American Noble Gas PE Ratio Historical Data,American Noble Gas PE Ratio Historical Data,American Noble Gas PE Ratio Historical Data,American Noble Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.06,,22.86
2024-12-31,21.92,$0.79,27.75
2024-09-30,22.02,$0.78,28.23
2024-06-30,18.41,$0.77,23.91
2024-03-31,17.38,$0.76,22.87
2023-12-31,17.82,$0.71,25.09
2023-09-30,16.37,$0.72,22.74
2023-06-30,15.38,$0.72,21.36
2023-03-31,16.47,$0.71,23.19
2022-12-31,17.01,$0.71,23.95
2022-09-30,15.85,$0.70,22.64
2022-06-30,17.29,$0.69,25.06
2022-03-31,23.0,$0.70,32.86
2021-12-31,23.39,$0.68,34.4
2021-09-30,20.38,$0.67,30.42
2021-06-30,19.41,$0.65,29.86
2021-03-31,16.97,$0.61,27.82
2020-12-31,15.37,$0.59,26.04
2020-09-30,12.39,$0.57,21.73
2020-06-30,8.67,$0.55,15.76
2020-03-31,7.26,$0.55,13.21
2019-12-31,9.13,$0.54,16.91
2019-09-30,9.94,$0.51,19.48
2019-06-30,9.35,$0.51,18.33
2019-03-31,9.42,$0.51,18.65
2018-12-31,8.16,$0.51,16.16
2018-09-30,8.63,$0.56,15.4
2018-06-30,8.24,$0.56,14.85
2018-03-31,7.38,$0.55,13.43
2017-12-31,6.71,$0.54,12.43
2017-09-30,5.96,$0.49,12.28
2017-06-30,6.13,$0.48,12.77
2017-03-31,6.35,$0.47,13.52
2016-12-31,5.96,$0.47,12.82
2016-09-30,6.28,$0.46,13.65
2016-06-30,7.1,$0.46,15.61
2016-03-31,7.49,$0.45,16.64
2015-12-31,6.59,$0.45,14.82
2015-09-30,7.45,$0.45,16.74
2015-06-30,6.19,$0.44,14.02
2015-03-31,6.75,$0.44,15.28
2014-12-31,6.05,$0.44,13.82
2014-09-30,5.77,$0.42,13.62
2014-06-30,5.13,$0.40,12.94
2014-03-31,5.1,$0.38,13.33
2013-12-31,5.33,$0.37,14.26
2013-09-30,4.5,$0.37,12.25
2013-06-30,3.86,$0.38,10.21
2013-03-31,4.99,$0.38,13.21
2012-12-31,3.91,$0.38,10.26
2012-09-30,4.46,$0.39,11.55
2012-06-30,4.14,$0.38,10.83
2012-03-31,5.17,$0.38,13.78
2011-12-31,4.66,$0.36,12.89
2011-09-30,4.6,$0.35,13.24
2011-06-30,5.88,$0.34,17.35
2011-03-31,6.42,$0.33,19.66
2010-12-31,6.81,$0.32,21.6
2010-09-30,5.94,$0.30,19.63
2010-06-30,5.29,$0.29,18.15
2010-03-31,5.16,$0.29,17.87
2009-12-31,4.85,$0.28,17.17
