Theratechnologies PE Ratio Historical Data,Theratechnologies PE Ratio Historical Data,Theratechnologies PE Ratio Historical Data,Theratechnologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.62,,0.0
2024-11-30,1.21,$-0.18,0.0
2024-08-31,1.28,$-0.10,0.0
2024-05-31,1.25,$-0.19,0.0
2024-02-29,1.45,$-0.61,0.0
2023-11-30,1.58,$-0.95,0.0
2023-08-31,0.96,$-1.23,0.0
2023-05-31,3.8,$-1.52,0.0
2023-02-28,3.8,$-2.08,0.0
2022-11-30,8.52,$-2.00,0.0
2022-08-31,8.64,$-2.04,0.0
2022-05-31,10.48,$-2.12,0.0
2022-02-28,11.12,$-1.44,0.0
2021-11-30,13.2,$-1.36,0.0
2021-08-31,14.52,$-1.24,0.0
2021-05-31,14.08,$-1.20,0.0
2021-02-28,12.84,$-1.24,0.0
2020-11-30,9.2,$-1.20,0.0
2020-08-31,10.4,$-1.24,0.0
