LakeShore Biopharma PE Ratio Historical Data,LakeShore Biopharma PE Ratio Historical Data,LakeShore Biopharma PE Ratio Historical Data,LakeShore Biopharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.05,,1.71
2024-09-30,0.68,$1.20,0.57
2023-06-30,1.38,$1.90,0.73
2023-03-31,1.6,$5.70,0.28
2022-09-30,9.82,$5.70,1.72
2022-06-30,9.73,$3.50,2.78
