Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,72.04,,33.98
2024-12-31,73.93,$2.12,34.87
2024-09-30,71.56,$2.13,33.6
2024-06-30,61.07,$2.09,29.22
2024-03-31,58.81,$2.05,28.69
2023-12-31,64.36,$2.04,31.55
2023-09-30,56.53,$2.13,26.54
2023-06-30,58.14,$2.14,27.17
2023-03-31,56.97,$2.25,25.32
2022-12-31,57.58,$2.82,20.42
2022-09-30,49.11,$2.65,18.53
2022-06-30,53.52,$2.83,18.91
2022-03-31,63.67,$2.78,22.9
2021-12-31,66.61,$2.11,31.57
2021-09-30,59.01,$1.95,30.26
2021-06-30,55.66,$1.33,41.85
2021-03-31,48.83,$0.88,55.49
2020-12-31,38.87,$0.26,149.49
2020-09-30,32.02,$0.27,118.58
2020-06-30,38.11,$0.54,70.57
2020-03-31,31.41,$0.74,42.44
2019-12-31,51.08,$1.43,35.72
2019-09-30,55.76,$1.65,33.79
2019-06-30,53.08,$1.72,30.86
2019-03-31,53.2,$1.69,31.48
2018-12-31,45.85,$1.46,31.4
2018-09-30,50.09,$1.50,33.4
2018-06-30,47.67,$1.44,33.1
2018-03-31,44.85,$1.44,31.15
2017-12-31,52.11,$0.87,59.89
2017-09-30,46.36,$0.90,51.51
2017-06-30,46.44,$0.60,77.39
2017-03-31,48.79,$0.67,72.82
2016-12-31,50.3,$1.42,35.42
2016-09-30,56.13,$1.07,52.46
2016-06-30,60.28,$1.59,37.91
2016-03-31,53.54,$1.58,33.89
2015-12-31,48.38,$1.36,35.58
2015-09-30,43.82,$1.97,22.24
2015-06-30,41.27,$1.92,21.49
2015-03-31,47.26,$1.86,25.41
2014-12-31,43.97,$1.80,24.43
2014-09-30,36.83,$1.51,24.39
2014-06-30,37.78,$1.37,27.58
2014-03-31,34.34,$1.44,23.85
2013-12-31,30.85,$1.40,22.04
2013-09-30,31.91,$0.49,65.13
2013-06-30,33.24,$0.24,138.49
2013-03-31,34.33,$-0.05,0.0
2012-12-31,30.3,$-0.08,0.0
2012-09-30,31.03,$0.42,73.88
2012-06-30,30.0,$0.38,78.95
2012-03-31,27.78,$0.46,60.39
2011-12-31,23.24,$0.34,68.36
2011-09-30,21.56,$-0.19,0.0
2011-06-30,26.52,$-0.16,0.0
2011-03-31,25.96,$-0.22,0.0
2010-12-31,24.95,$-0.09,0.0
2010-09-30,23.06,$0.66,34.94
2010-06-30,19.85,$-0.51,0.0
2010-03-31,21.36,$-0.82,0.0
2009-12-31,19.7,$-0.69,0.0
