Lineage Cell Therapeutics PE Ratio Historical Data,Lineage Cell Therapeutics PE Ratio Historical Data,Lineage Cell Therapeutics PE Ratio Historical Data,Lineage Cell Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.5,,0.0
2024-12-31,0.5,$-0.09,0.0
2024-09-30,0.91,$-0.12,0.0
2024-06-30,1.0,$-0.14,0.0
2024-03-31,1.48,$-0.14,0.0
2023-12-31,1.09,$-0.13,0.0
2023-09-30,1.18,$-0.13,0.0
2023-06-30,1.41,$-0.13,0.0
2023-03-31,1.5,$-0.14,0.0
2022-12-31,1.17,$-0.15,0.0
2022-09-30,1.13,$-0.29,0.0
2022-06-30,1.58,$-0.30,0.0
2022-03-31,1.54,$-0.29,0.0
2021-12-31,2.45,$-0.26,0.0
2021-09-30,2.52,$-0.08,0.0
2021-06-30,2.85,$-0.08,0.0
2021-03-31,2.35,$-0.09,0.0
2020-12-31,1.76,$-0.14,0.0
2020-09-30,0.94,$-0.18,0.0
2020-06-30,0.87,$-0.24,0.0
2020-03-31,0.83,$-0.40,0.0
2019-12-31,0.89,$-0.04,0.0
2019-09-30,0.98,$-0.36,0.0
2019-06-30,1.1,$0.28,3.93
2019-03-31,1.31,$0.45,2.91
2018-12-31,0.91,$-0.35,0.0
2018-09-30,2.2,$-0.58,0.0
2018-06-30,1.92,$-0.99,0.0
2018-03-31,2.51,$-1.07,0.0
2017-12-31,2.01,$-0.11,0.0
2017-09-30,2.65,$0.47,5.64
2017-06-30,2.94,$0.65,4.53
2017-03-31,3.22,$1.02,3.16
2016-12-31,3.37,$0.37,9.11
2016-09-30,3.64,$0.21,17.35
2016-06-30,2.44,$-0.27,0.0
2016-03-31,2.68,$-0.65,0.0
2015-12-31,3.56,$-0.59,0.0
2015-09-30,2.61,$-0.57,0.0
2015-06-30,3.15,$-0.51,0.0
2015-03-31,4.32,$-0.55,0.0
2014-12-31,3.24,$-0.56,0.0
2014-09-30,2.73,$-0.77,0.0
2014-06-30,2.65,$-0.81,0.0
2014-03-31,2.86,$-0.79,0.0
2013-12-31,3.13,$-0.80,0.0
2013-09-30,3.3,$-0.57,0.0
2013-06-30,3.44,$-0.51,0.0
2013-03-31,3.32,$-0.48,0.0
2012-12-31,2.73,$-0.43,0.0
2012-09-30,3.65,$-0.41,0.0
2012-06-30,4.0,$-0.39,0.0
2012-03-31,3.83,$-0.37,0.0
2011-12-31,5.05,$-0.34,0.0
2011-09-30,3.83,$-0.30,0.0
2011-06-30,4.46,$-0.33,0.0
2011-03-31,6.48,$-0.30,0.0
2010-12-31,7.24,$-0.27,0.0
2010-09-30,4.13,$-0.15,0.0
2010-06-30,5.35,$-0.15,0.0
2010-03-31,6.2,$-0.09,0.0
2009-12-31,3.68,$-0.05,0.0
