Rani Therapeutics Holdings PE Ratio Historical Data,Rani Therapeutics Holdings PE Ratio Historical Data,Rani Therapeutics Holdings PE Ratio Historical Data,Rani Therapeutics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.5,,0.0
2024-09-30,2.16,$-1.06,0.0
2024-06-30,3.8,$-1.18,0.0
2024-03-31,3.11,$-1.29,0.0
2023-12-31,3.32,$-1.33,0.0
2023-09-30,2.18,$-1.41,0.0
2023-06-30,4.12,$-1.38,0.0
2023-03-31,5.16,$-1.32,0.0
2022-12-31,5.9,$-1.28,0.0
2022-09-30,9.58,$-1.20,0.0
2022-06-30,10.33,$-1.03,0.0
