Richmond Mutual Bancorporation PE Ratio Historical Data,Richmond Mutual Bancorporation PE Ratio Historical Data,Richmond Mutual Bancorporation PE Ratio Historical Data,Richmond Mutual Bancorporation PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.86,,14.95
2024-09-30,12.78,$0.86,14.86
2024-06-30,11.5,$0.81,14.2
2024-03-31,10.76,$0.87,12.37
2023-12-31,11.0,$0.91,12.09
2023-09-30,10.53,$1.03,10.22
2023-06-30,10.3,$1.13,9.11
2023-03-31,9.55,$1.18,8.1
2022-12-31,11.86,$1.17,10.14
2022-09-30,12.15,$1.10,11.04
2022-06-30,12.56,$1.08,11.63
2022-03-31,15.22,$1.01,15.07
2021-12-31,14.24,$0.97,14.68
2021-09-30,13.91,$0.94,14.8
2021-06-30,13.1,$0.88,14.89
2021-03-31,11.45,$0.84,13.63
2020-12-31,11.47,$0.82,13.99
2020-09-30,8.85,$-0.40,0.0
2020-06-30,9.36,$-0.87,0.0
