Cigna Group PE Ratio Historical Data,Cigna Group PE Ratio Historical Data,Cigna Group PE Ratio Historical Data,Cigna Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,321.39,,26.26
2024-12-31,276.14,$12.24,22.56
2024-09-30,344.98,$10.60,32.55
2024-06-30,327.92,$12.71,25.8
2024-03-31,360.28,$12.18,29.58
2023-12-31,295.81,$17.39,17.01
2023-09-30,281.25,$17.73,15.86
2023-06-30,274.66,$21.96,12.51
2023-03-31,248.96,$21.94,11.35
2022-12-31,321.41,$21.38,15.03
2022-09-30,268.24,$20.94,12.81
2022-06-30,253.76,$16.77,15.13
2022-03-31,229.75,$16.12,14.25
2021-12-31,219.11,$15.74,13.92
2021-09-30,190.07,$23.80,7.99
2021-06-30,224.08,$22.78,9.84
2021-03-31,227.58,$23.26,9.78
2020-12-31,195.16,$23.11,8.44
2020-09-30,158.81,$14.26,11.14
2020-06-30,175.91,$14.05,12.52
2020-03-31,166.1,$13.02,12.76
2019-12-31,191.66,$13.43,14.27
2019-09-30,142.27,$11.38,12.5
2019-06-30,147.66,$10.95,13.49
2019-03-31,150.73,$10.54,14.3
2018-12-31,177.96,$10.70,16.63
2018-09-30,195.13,$11.22,17.39
2018-06-30,159.25,$10.29,15.48
2018-03-31,157.18,$10.15,15.49
2017-12-31,190.26,$8.73,21.79
2017-09-30,175.13,$9.13,19.18
2017-06-30,156.81,$8.68,18.07
2017-03-31,137.23,$7.50,18.3
2016-12-31,124.93,$7.20,17.35
2016-09-30,122.05,$7.37,16.56
2016-06-30,119.87,$7.71,15.55
2016-03-31,128.53,$8.00,16.07
2015-12-31,137.01,$8.04,17.04
2015-09-30,126.42,$8.17,15.47
2015-06-30,151.68,$8.08,18.77
2015-03-31,121.19,$7.94,15.26
2014-12-31,96.32,$7.82,12.32
2014-09-30,84.88,$7.34,11.56
2014-06-30,86.08,$7.28,11.82
2014-03-31,78.37,$6.92,11.33
2013-12-31,81.84,$5.20,15.74
2013-09-30,71.9,$5.32,13.52
2013-06-30,67.82,$4.98,13.62
2013-03-31,58.35,$4.53,12.88
2012-12-31,49.98,$5.61,8.91
2012-09-30,44.1,$5.24,8.42
2012-06-30,41.13,$4.37,9.41
2012-03-31,46.04,$4.56,10.1
2011-12-31,39.23,$4.85,8.09
2011-09-30,39.17,$5.50,7.12
2011-06-30,48.04,$5.89,8.16
2011-03-31,41.36,$5.45,7.59
2010-12-31,34.21,$4.90,6.98
2010-09-30,33.39,$4.40,7.59
2010-06-30,28.98,$4.46,6.5
2010-03-31,34.14,$4.98,6.85
2009-12-31,32.88,$4.72,6.97
