Mistras Group Inc PE Ratio Historical Data,Mistras Group Inc PE Ratio Historical Data,Mistras Group Inc PE Ratio Historical Data,Mistras Group Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.01,,23.28
2024-12-31,9.06,$0.43,21.07
2024-09-30,11.37,$0.35,32.49
2024-06-30,8.29,$-0.19,0.0
2024-03-31,9.56,$-0.38,0.0
2023-12-31,7.32,$-0.58,0.0
2023-09-30,5.45,$-0.41,0.0
2023-06-30,7.72,$0.07,110.29
2023-03-31,6.78,$0.21,32.29
2022-12-31,4.93,$0.20,24.65
2022-09-30,4.46,$0.11,40.55
2022-06-30,5.94,$0.08,74.25
2022-03-31,6.61,$0.13,50.85
2021-12-31,7.43,$0.13,57.15
2021-09-30,10.16,$0.14,72.57
2021-06-30,9.83,$0.08,122.88
2021-03-31,11.41,$-0.21,0.0
2020-12-31,7.76,$-3.43,0.0
2020-09-30,3.91,$-3.41,0.0
2020-06-30,3.95,$-3.35,0.0
2020-03-31,4.26,$-3.00,0.0
2019-12-31,14.27,$0.21,67.95
2019-09-30,16.4,$0.14,117.14
2019-06-30,14.37,$-0.01,0.0
2019-03-31,13.81,$-0.07,0.0
2018-12-31,14.38,$0.22,65.36
2018-09-30,21.67,$0.29,74.72
2018-06-30,18.88,$0.08,236.0
2018-03-31,18.94,$-0.05,0.0
2017-12-31,23.47,$-0.09,0.0
2017-09-30,20.5,$-0.12,0.0
2017-06-30,21.97,$0.13,169.0
2017-03-31,21.38,$0.28,76.36
2016-12-31,25.68,$0.22,116.73
2016-11-30,23.64,$0.31,76.26
2016-09-30,23.47,$0.31,75.71
2016-08-31,23.47,$0.21,111.76
2016-06-30,23.87,$0.21,113.67
2016-05-31,24.81,$0.12,206.75
2016-03-31,24.77,$0.12,206.42
2016-02-29,21.46,0,0.0
2015-11-30,21.53,0,0.0
2015-08-31,14.64,0,0.0
2015-05-31,18.51,0,0.0
2015-02-28,18.85,0,0.0
2014-11-30,17.09,0,0.0
2014-08-31,21.46,0,0.0
2014-05-31,22.76,0,0.0
2014-02-28,22.04,0,0.0
2013-11-30,20.05,0,0.0
2013-08-31,18.23,0,0.0
2013-05-31,21.38,0,0.0
2013-02-28,20.45,0,0.0
2012-11-30,21.69,0,0.0
2012-08-31,21.81,0,0.0
2012-05-31,22.54,0,0.0
2012-02-29,22.4,0,0.0
2011-11-30,23.53,0,0.0
2011-08-31,20.2,0,0.0
2011-05-31,17.41,0,0.0
2011-02-28,15.09,0,0.0
2010-11-30,11.9,0,0.0
2010-08-31,10.6,0,0.0
2010-05-31,11.94,0,0.0
